layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.4201984126984127,0.10620348047167905,0.45442237799223684,0.06775707617839773,0.597684173251819,5
1,0.46960317460317463,0.10827066621672443,0.45999563506537877,0.06618857569655837,0.6205722131374777,5
2,0.5487301587301587,0.11415660420977171,0.46390250093588603,0.08110807473580861,0.6379082553677897,5
3,0.5598412698412698,0.1490768498307325,0.49809773218876946,0.0539869842829476,0.6192147488352094,5
4,0.5273015873015873,0.12107829900959001,0.4981641754777374,0.07451429608155888,0.5984357857517433,5
5,0.4769047619047619,0.09365253815297443,0.4620108083492552,0.043113912358131834,0.6196001746658912,5
6,0.41261904761904766,0.10296277093953178,0.48966145207659395,0.06354915344207818,0.577971748036491,5
7,0.41678571428571426,0.035839067726577405,0.4744826998595949,0.056997659341988124,0.5712227644454181,5
8,0.4013095238095238,0.05570550907672056,0.41464605540354266,0.06995850704208523,0.608212724984232,5
9,0.47821428571428565,0.1036258067429598,0.4467357107610658,0.017451099148714844,0.5990387742637266,5
10,0.49488095238095237,0.1103035776922067,0.4553040035241119,0.027876820420932327,0.5869547417888928,5
11,0.5790079365079366,0.05022867523710515,0.44020240210196243,0.024747298307719916,0.579122425370529,5
12,0.6613492063492064,0.05312820025782375,0.4758912861101029,0.02623068392367378,0.5906482541290636,5
13,0.6748412698412698,0.06906777096002698,0.500118150273326,0.05067735247172344,0.5756513866898982,5
14,0.678015873015873,0.1563319198202943,0.49023532691631566,0.020124978820227773,0.570247498670581,5
15,0.6942857142857143,0.11742163402054336,0.46980686453319614,0.0688359280078683,0.5997478731233807,5
16,0.7127380952380953,0.08967929127422178,0.5096265260961155,0.04424607379225081,0.6022442654860424,5
17,0.7728571428571429,0.0907085050026655,0.5492514910094087,0.07276919217420195,0.5722533815451379,5
18,0.7895238095238095,0.1123957062550901,0.551675722332354,0.0986117707148191,0.5783727465046496,5
19,0.818095238095238,0.06736138871298898,0.5461970157977412,0.07287843018983968,0.5876141271888476,5
20,0.8163095238095238,0.13601522607177477,0.5230797052482961,0.0705966757576197,0.6367343244946224,5
21,0.8559920634920635,0.048370883581270764,0.5314354594438304,0.062181414565995755,0.6522482822355269,5
22,0.8583730158730158,0.053149869869742586,0.5224806686627829,0.04828643674474319,0.6937743119201375,5
23,0.827579365079365,0.11290013803826905,0.529261752650138,0.04458012225851052,0.6656076287969821,5
24,0.7686904761904761,0.08781486916898266,0.5384662612796687,0.05826054993601756,0.6476955896473353,5
25,0.7982539682539682,0.06931995644692789,0.5436948870130619,0.05942788928880709,0.6562690570826504,5
26,0.8498015873015874,0.06466549585555964,0.5986243240252216,0.037092271745184514,0.6553840359602001,5
27,0.8853174603174603,0.051685460641980784,0.6193076268867079,0.036590627361930896,0.6259252446765123,5
28,0.9019841269841271,0.04352321724846799,0.6194413808813737,0.03499029209295382,0.5998713579045599,5
29,0.871031746031746,0.06854218287086761,0.5951191689787688,0.044450321644944654,0.5845990967126777,5
30,0.827579365079365,0.11290013803826905,0.6091538018887291,0.05309168900784689,0.5745407523707773,5
31,0.8567460317460318,0.08405242934059036,0.6296742876115783,0.03378131263470205,0.5839317265187756,5
32,0.8329761904761905,0.0248065074484777,0.5830341013314642,0.05695043761594397,0.619494483973378,5
33,0.7815873015873016,0.09153810213982506,0.5670866564632295,0.01565367905956685,0.6135287352768216,5
34,0.7673015873015873,0.10329314389865195,0.5479843678621881,0.04245135586669654,0.6232348988163889,5
35,0.7482539682539683,0.10773456906153321,0.5543584303450121,0.01824164037393164,0.6329534196090526,5
36,0.7232539682539683,0.0995505338983459,0.5104002426293911,0.04473331448161889,0.6259242563060312,5
37,0.7399206349206349,0.07723472651171807,0.49825110440144404,0.04361224553156328,0.6237865838558422,5
38,0.7089682539682539,0.0955257107126425,0.5134471318821127,0.04618414424445749,0.6404705490006407,5
39,0.7113492063492063,0.08732812096779703,0.5278212019922561,0.038378685285047634,0.634366353000973,5
40,0.7256349206349206,0.0759953530308777,0.5220341424850778,0.04144758536541351,0.6335869742763527,5
41,0.6863492063492063,0.08641452744206864,0.5256497170483128,0.0651596567938549,0.6070617547705245,5
42,0.7131349206349207,0.09513329220342547,0.5105772203215212,0.0662983838690673,0.6003017478382782,5
43,0.6738492063492063,0.09754404945860136,0.5226690558265067,0.056275656067763524,0.5974458400143428,5
44,0.697063492063492,0.09908200540797715,0.5459076601310392,0.03657186277014161,0.6306412131379532,5
45,0.6385714285714286,0.0597071580959198,0.5455760692843281,0.046335872277155674,0.6097085819869974,5
46,0.6385714285714286,0.0597071580959198,0.5456009862630291,0.04992199366116633,0.6455525831810844,5
47,0.6502777777777777,0.0955391241211855,0.5465274211340423,0.06101118832199356,0.6272969793490049,5
