layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.4078571428571428,0.15094620781278748,0.4201182196249119,0.06806283512839918,0.6025656000093648,5
1,0.4078571428571428,0.15094620781278748,0.40111257913910797,0.05913060011335499,0.6000766968753831,5
2,0.4764285714285714,0.14263785252445832,0.4202466748312717,0.07477670414610135,0.6003986799676919,5
3,0.51,0.1274437984709632,0.41256997269853785,0.06573930751358874,0.6063795106834619,5
4,0.44726190476190475,0.17172882105767634,0.4376969096455179,0.09115207266897261,0.5790315552913274,5
5,0.41654761904761906,0.1253258225242636,0.43246391192749967,0.08946148189132569,0.5574538695946624,5
6,0.42488095238095236,0.15449519142140186,0.4223656748317728,0.09845850787982309,0.569470554476607,5
7,0.4397619047619047,0.13546041941008954,0.42783628830645276,0.10212284111607577,0.5482308443804244,5
8,0.3730952380952381,0.12030393647557536,0.41954769050226703,0.0695318479015767,0.5355374469475398,5
9,0.41238095238095235,0.10644481606077938,0.4508159203087521,0.06672176069071195,0.574786759772147,5
10,0.48583333333333334,0.061029178739324126,0.4615664900286166,0.053326125558681645,0.5360253938809708,5
11,0.5025,0.08480461403932144,0.4613563582665548,0.054402535456335784,0.5583184118123664,5
12,0.49000000000000005,0.0925182690177503,0.45218528625110166,0.042485205215950374,0.5780503728820324,5
13,0.5560714285714285,0.07641498729599261,0.5009168289978561,0.06433888391481417,0.5581635551531097,5
14,0.6471428571428571,0.08830152007022316,0.5359700566398758,0.043503582269078106,0.5608625695040923,5
15,0.5896428571428571,0.10857475715448997,0.5355645768866847,0.061008733989182246,0.5645136463511858,5
16,0.6370238095238095,0.06497426666610548,0.567861270177419,0.0608093606493948,0.5775756152648764,5
17,0.6310714285714285,0.1047055787432296,0.5475527479070983,0.05919504346871645,0.5555066417728365,5
18,0.6870238095238095,0.057566632987869716,0.5881920697023963,0.055378715532383,0.595181324728179,5
19,0.6477380952380952,0.07760658496209233,0.5606493241482006,0.07320546806720972,0.5690515562707099,5
20,0.6846428571428571,0.09490772311582173,0.5843751073408985,0.06482202070208448,0.631904369190574,5
21,0.7129761904761904,0.07101617058994925,0.6057344125724213,0.07738480127661121,0.5965284747042757,5
22,0.6269047619047619,0.01521878426674816,0.5910664573865201,0.07045455770198829,0.5918212942574803,5
23,0.6638095238095237,0.069173735398157,0.5791104391573125,0.06109840941885697,0.6398867959806896,5
24,0.6911904761904761,0.07777987829201186,0.5859527184490234,0.07583050404274665,0.6216175409519471,5
25,0.6846428571428571,0.11076099884983502,0.5964339615912879,0.08285828013124413,0.6448526529052974,5
26,0.6757142857142857,0.079292327766502,0.565053656231642,0.07408459325322586,0.6865757295693175,5
27,0.7632142857142857,0.08140672569672691,0.6047885334648245,0.07984897595003197,0.7156175759497734,5
28,0.7923809523809524,0.10518583059003768,0.6221915961396952,0.07425163535711446,0.7158943270701691,5
29,0.8157142857142856,0.10333991640211186,0.5666968918565496,0.07371561623206244,0.718772378976334,5
30,0.869047619047619,0.13883218797250715,0.5834209011986285,0.082169385726616,0.7315047621235389,5
31,0.869047619047619,0.13883218797250715,0.5953880828153031,0.054033068728614714,0.7476434010121193,5
32,0.8732142857142857,0.12992699197099264,0.5969865855738564,0.04286450982217345,0.7225964808174321,5
33,0.8607142857142858,0.11490947709031694,0.5740672140387278,0.04705675776309693,0.6687732146974986,5
34,0.8732142857142857,0.12800387297499496,0.5629028560166134,0.04930999501878251,0.6615472994990828,5
35,0.819047619047619,0.08713683950078717,0.5407527111774723,0.058587756712358406,0.653542063084446,5
36,0.806547619047619,0.08139758530462705,0.5494754738721911,0.06229158423730705,0.6384517043541701,5
37,0.831547619047619,0.10061108638190847,0.5521952914643599,0.046895838541226115,0.6559623354293483,5
38,0.831547619047619,0.10061108638190847,0.5436716457501746,0.06362433465624077,0.6403295300690018,5
39,0.819047619047619,0.09770339706574149,0.5395353963407843,0.05284834169347999,0.691437236756369,5
40,0.9041666666666666,0.07156485015549033,0.5523951916699172,0.04120029796861422,0.686800714652117,5
41,0.9041666666666666,0.07156485015549033,0.5663679018159494,0.051276555250410055,0.680442589261909,5
42,0.8916666666666666,0.06972166887783968,0.5550027107570236,0.043244206270756244,0.6729823725004416,5
43,0.8916666666666666,0.06972166887783968,0.5577864383606441,0.044396025729537866,0.6798253053112917,5
44,0.8916666666666666,0.06972166887783968,0.5431672911429024,0.04138209224772857,0.6648060334317141,5
45,0.8916666666666666,0.06972166887783968,0.5412684052532295,0.04091971762249561,0.6728307247897387,5
46,0.8791666666666667,0.07850601533923658,0.5250045779302637,0.04509427309242024,0.6661317075454644,5
47,0.8375,0.10458250331675946,0.5177226267940759,0.043702303202866055,0.6567112794612059,5
