layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.29833333333333334,0.28543339367043624,0.5538819875776397,0.036616836251115545,0.5843137254901961,5
1,0.30666666666666664,0.1978530599544352,0.518167701863354,0.03956048193625679,0.6235294117647059,5
2,0.26166666666666666,0.20996031371031368,0.5222049689440993,0.02763364438077342,0.584313725490196,5
3,0.3283333333333333,0.2246602372967282,0.5642857142857143,0.03142923887784626,0.5333333333333333,5
4,0.45999999999999996,0.17973746286057216,0.5543478260869565,0.04493390140577771,0.5529411764705883,5
5,0.5016666666666667,0.12505554321536044,0.5411490683229813,0.019112629852626038,0.615686274509804,5
6,0.49333333333333335,0.18506755523321747,0.5736024844720496,0.026547800191283926,0.6235294117647059,5
7,0.6316666666666666,0.09796541339790397,0.5161490683229812,0.040627183907076744,0.6549019607843137,5
8,0.5316666666666666,0.11995369476964386,0.520496894409938,0.032942501752948085,0.6470588235294118,5
9,0.565,0.13155058173780745,0.5746894409937888,0.05048793114127648,0.6745098039215687,5
10,0.6066666666666667,0.11462499242699599,0.5501552795031056,0.04143228446768977,0.6666666666666666,5
11,0.7066666666666667,0.15313846312696522,0.5462732919254658,0.023133519318520007,0.6274509803921569,5
12,0.7233333333333333,0.2295375786227606,0.5680124223602484,0.031835138488640925,0.6470588235294118,5
13,0.7433333333333334,0.23134570091820023,0.5759316770186336,0.03193344783848086,0.6470588235294118,5
14,0.7433333333333334,0.23134570091820023,0.5712732919254658,0.01861250106211413,0.6,5
15,0.7766666666666666,0.15782814141407805,0.5756211180124223,0.01847597720634576,0.6078431372549019,5
16,0.7766666666666666,0.15782814141407805,0.6211180124223603,0.05767071129209282,0.6235294117647059,5
17,0.8266666666666665,0.2046677524401167,0.621583850931677,0.027365121427853332,0.5882352941176471,5
18,0.8016666666666665,0.18487984085766504,0.6540372670807454,0.045006284683886434,0.596078431372549,5
19,0.8016666666666665,0.18487984085766504,0.637888198757764,0.03297907812767751,0.5529411764705883,5
20,0.7516666666666667,0.14794894014114765,0.6711180124223602,0.016020902062051093,0.5686274509803921,5
21,0.7966666666666666,0.1894436298451043,0.6956521739130435,0.04936996970238109,0.5764705882352941,5
22,0.7966666666666666,0.1894436298451043,0.7066770186335404,0.031520209245987654,0.6078431372549019,5
23,0.7966666666666666,0.1894436298451043,0.6861801242236025,0.035107421664095785,0.5607843137254902,5
24,0.8300000000000001,0.2109502310972899,0.6892857142857143,0.021314904669416584,0.592156862745098,5
25,0.805,0.22940139493908923,0.6933229813664596,0.03201168963988868,0.5529411764705883,5
26,0.7849999999999999,0.22332711434127295,0.6925465838509317,0.05714043084911069,0.5490196078431373,5
27,0.805,0.22940139493908923,0.7158385093167702,0.02889409016448509,0.580392156862745,5
28,0.8300000000000001,0.2109502310972899,0.742080745341615,0.027391542019503792,0.5294117647058824,5
29,0.7383333333333333,0.2648112535373072,0.7107142857142857,0.04262627414769214,0.5686274509803921,5
30,0.7433333333333334,0.24765567494675617,0.7114906832298137,0.021701664698468934,0.580392156862745,5
31,0.7766666666666666,0.2727432655243552,0.6849378881987578,0.01633574321258836,0.5921568627450979,5
32,0.7766666666666666,0.2727432655243552,0.6944099378881987,0.02319857067948211,0.6039215686274509,5
33,0.8266666666666665,0.2046677524401167,0.7158385093167702,0.03882375756989515,0.580392156862745,5
34,0.7933333333333333,0.2732520204255893,0.7158385093167702,0.04631456848429882,0.5803921568627451,5
35,0.7933333333333333,0.2732520204255893,0.735248447204969,0.04395397470409371,0.5764705882352941,5
36,0.8266666666666665,0.2046677524401167,0.7309006211180125,0.046763370450210166,0.5725490196078431,5
37,0.7766666666666666,0.18089284734953515,0.7316770186335404,0.04481502044668354,0.580392156862745,5
38,0.8266666666666665,0.2046677524401167,0.7066770186335404,0.03395529953366701,0.6078431372549019,5
39,0.7766666666666666,0.18089284734953515,0.734472049689441,0.03630021654522042,0.5686274509803921,5
40,0.7766666666666666,0.18089284734953515,0.7309006211180125,0.0349577238378555,0.5725490196078431,5
41,0.7933333333333333,0.2732520204255893,0.7237577639751553,0.019682863783789716,0.5803921568627451,5
42,0.7933333333333333,0.21653842358548955,0.7273291925465839,0.03255504311383753,0.5764705882352941,5
43,0.7433333333333334,0.1831817555204545,0.7321428571428571,0.047232798677810946,0.5568627450980392,5
44,0.7933333333333333,0.21653842358548955,0.7285714285714286,0.04499288915865252,0.5490196078431373,5
45,0.7733333333333333,0.22035325174717885,0.7444099378881988,0.029494931852382035,0.5568627450980392,5
46,0.7233333333333334,0.18089284734953515,0.725776397515528,0.02394528761018786,0.5607843137254902,5
47,0.7433333333333334,0.1831817555204545,0.7111801242236024,0.03542194012273414,0.5490196078431373,5
