layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.4883333333333333,0.09234596784796711,0.48038461538461535,0.02190113611924296,0.6545454545454545,5
1,0.4883333333333333,0.09234596784796711,0.4653846153846154,0.024702370343586785,0.6727272727272727,5
2,0.41500000000000004,0.13102162671355697,0.46538461538461534,0.028099306146543213,0.6727272727272727,5
3,0.395,0.14112642086677696,0.48576923076923073,0.05205822866365735,0.6787878787878788,5
4,0.3816666666666667,0.15027752105133135,0.45576923076923076,0.08299363702707725,0.7151515151515151,5
5,0.44000000000000006,0.1917028951268081,0.43807692307692314,0.06119797633657755,0.7212121212121212,5
6,0.41500000000000004,0.13102162671355697,0.4480769230769231,0.07492599899530059,0.7090909090909091,5
7,0.385,0.17284386017443606,0.39,0.07988758744147262,0.7333333333333333,5
8,0.4716666666666667,0.10401655851086615,0.4196153846153846,0.061889025515756334,0.6666666666666667,5
9,0.43166666666666664,0.11908213785264167,0.4707692307692308,0.0724977045137521,0.696969696969697,5
10,0.31333333333333335,0.12605113600792692,0.45269230769230767,0.14540928769079906,0.6727272727272727,5
11,0.32,0.13662601021279464,0.4119230769230769,0.13334149999644435,0.6606060606060605,5
12,0.4066666666666666,0.136218778278017,0.4753846153846154,0.11815112927565456,0.6606060606060605,5
13,0.5183333333333333,0.14486583831639227,0.4634615384615385,0.12496301227911327,0.5757575757575758,5
14,0.6166666666666666,0.09912814377808604,0.5357692307692308,0.09566800334440625,0.6,5
15,0.5583333333333333,0.22345146129653204,0.563076923076923,0.08136683679594231,0.6303030303030303,5
16,0.71,0.17494046606393465,0.6311538461538462,0.06365646055518795,0.6666666666666667,5
17,0.6816666666666666,0.1777951380412612,0.6176923076923078,0.04324572010837963,0.7272727272727273,5
18,0.7683333333333333,0.17818529681205467,0.6765384615384615,0.02936709102895552,0.6909090909090909,5
19,0.7933333333333333,0.15268431484602474,0.6642307692307693,0.04703879174674966,0.6606060606060606,5
20,0.8433333333333334,0.11030261405182865,0.6230769230769231,0.02466491411227046,0.703030303030303,5
21,0.8633333333333333,0.0930949336251263,0.6488461538461539,0.017286311580187882,0.6727272727272727,5
22,0.8833333333333332,0.11180339887498951,0.6334615384615384,0.04023782847317538,0.6848484848484848,5
23,0.8833333333333332,0.11180339887498951,0.6207692307692307,0.025308744425172412,0.6848484848484848,5
24,0.8833333333333332,0.11180339887498951,0.6411538461538462,0.06644502109565752,0.6787878787878788,5
25,0.8833333333333332,0.11180339887498951,0.5569230769230769,0.03376629564955995,0.7151515151515151,5
26,0.8833333333333332,0.11180339887498951,0.585,0.04537402092770629,0.703030303030303,5
27,0.8833333333333332,0.11180339887498951,0.5696153846153846,0.059295045044791966,0.7151515151515152,5
28,0.9166666666666666,0.11785113019775793,0.6461538461538462,0.06271413022738587,0.6848484848484848,5
29,0.9416666666666667,0.0812232862067414,0.6584615384615384,0.045824142883483576,0.7151515151515151,5
30,0.9666666666666666,0.07453559924999303,0.6503846153846153,0.03326422816990715,0.7515151515151516,5
31,0.9666666666666666,0.07453559924999303,0.6426923076923077,0.02549074550712233,0.7575757575757576,5
32,0.9666666666666666,0.07453559924999303,0.6630769230769231,0.04313869197787677,0.7515151515151516,5
33,0.9466666666666667,0.07673909622147561,0.6938461538461539,0.03654858159447572,0.7272727272727273,5
34,0.9216666666666666,0.07536946036396681,0.6915384615384615,0.03433648326256252,0.7090909090909091,5
35,0.9666666666666666,0.07453559924999303,0.7173076923076923,0.02137126035662779,0.6787878787878788,5
36,0.9216666666666666,0.07536946036396681,0.7,0.05064305416255263,0.6424242424242423,5
37,0.9216666666666666,0.07536946036396681,0.6846153846153846,0.06271413022738587,0.6545454545454545,5
38,0.8966666666666667,0.06252777160768026,0.6765384615384615,0.053248746408557236,0.6909090909090909,5
39,0.8966666666666667,0.06252777160768026,0.6838461538461538,0.08030544500244935,0.7151515151515151,5
40,0.9216666666666666,0.07536946036396677,0.7011538461538461,0.052851388163124256,0.7515151515151516,5
41,0.9550000000000001,0.062249497989943677,0.7038461538461538,0.04204463674822198,0.7393939393939394,5
42,0.93,0.06471089552772395,0.6884615384615385,0.047242763448224014,0.7515151515151516,5
43,0.93,0.06471089552772395,0.7088461538461538,0.05228859945663198,0.7454545454545454,5
44,0.93,0.06471089552772395,0.7319230769230769,0.055112177157193895,0.7272727272727273,5
45,0.93,0.06471089552772395,0.7296153846153846,0.0579577228084066,0.7090909090909091,5
46,0.8766666666666666,0.09527008391351864,0.7219230769230769,0.037919253981126916,0.7151515151515152,5
47,0.8516666666666666,0.11093040861529156,0.7023076923076923,0.04365003372034191,0.6606060606060605,5
