layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.5082142857142857,0.07973124855077124,0.4954724192379924,0.01781159140861612,0.6710541415338157,5
1,0.5582142857142858,0.1000888918970489,0.5004038477539874,0.011593840311473239,0.7540307332756637,5
2,0.5546031746031745,0.10698018220790043,0.5028769202928793,0.01162746868136749,0.6973502489726631,5
3,0.5401587301587302,0.10432599304290863,0.4895169614920135,0.007029899426376712,0.6296079089121787,5
4,0.5457142857142857,0.09540758727559652,0.494415652448611,0.011387559424692223,0.7224564187079079,5
5,0.5671031746031746,0.1233173150003128,0.48868804248795,0.009492547037313042,0.7898691094774913,5
6,0.5678968253968254,0.11331852783333775,0.4877262988597525,0.005893272823686142,0.8325018989644255,5
7,0.6026190476190476,0.12083304011224096,0.48864909637091347,0.011993433291740015,0.8044360027742462,5
8,0.603452380952381,0.08111896375804577,0.48894881382745414,0.014972143018102357,0.7190480715891837,5
9,0.5655555555555556,0.12084470324696515,0.5001550909818294,0.009489823971076169,0.7145946355861805,5
10,0.5836111111111111,0.08207544584578003,0.5000110711683324,0.016079897199388887,0.6960054006214096,5
11,0.5943253968253968,0.08109615112249996,0.512473178422667,0.016056653030075627,0.6754280247214359,5
12,0.5808333333333333,0.10827477485891304,0.5219825465190465,0.023134856448709953,0.663296889827335,5
13,0.6226190476190476,0.16839032173350924,0.5216528166011715,0.015259311319163468,0.7260117246767068,5
14,0.6494047619047618,0.103106853519203,0.5295857142290515,0.01977288060941667,0.6826549142183302,5
15,0.6757936507936508,0.11310263481798945,0.5349774528100941,0.033433528923136474,0.5713081545138163,5
16,0.6763888888888888,0.12347982786122168,0.5198893342483115,0.027513637306997688,0.5800323110538808,5
17,0.6722222222222223,0.1197926422944924,0.535922561166225,0.029586173783978254,0.6307994133864854,5
18,0.6565476190476189,0.15826506763228917,0.538032283191925,0.020806064448735888,0.6897171247188018,5
19,0.6694444444444445,0.1249358143346085,0.5397936378681764,0.016645458869576392,0.7142741652409964,5
20,0.7204365079365079,0.12887359163268242,0.5368960311859167,0.02135522745456628,0.696811382954658,5
21,0.7490079365079365,0.0494640907234838,0.5338698213922174,0.017427448405860548,0.7615414429515969,5
22,0.7730158730158729,0.08184193115012289,0.5386104328914197,0.016252606598833378,0.7813034703853751,5
23,0.8418650793650795,0.07298783105412426,0.5459143870807482,0.017529143203732354,0.7747571555242283,5
24,0.8317460317460318,0.07121675493995337,0.5397396453002322,0.01246799210433557,0.814668870190091,5
25,0.8057539682539682,0.05877672703303191,0.5443324249974453,0.018011789412888692,0.8177092697712576,5
26,0.8123015873015873,0.08148942619139474,0.541773345634528,0.017077745944917157,0.8085765420353829,5
27,0.7831349206349205,0.08907492755298152,0.5390666968109146,0.01572896586608822,0.8297071020880982,5
28,0.7571825396825397,0.09344736784316258,0.531652939403364,0.015802396772722847,0.871627206428306,5
29,0.684563492063492,0.09181282582593027,0.5338080437899976,0.01559984675634855,0.8399658277879751,5
30,0.6643253968253968,0.18208580996186485,0.5197162693043138,0.009813859273218938,0.8884779196063312,5
31,0.6563888888888889,0.15139502577588215,0.5198779110215939,0.012340474367968958,0.8995279913203298,5
32,0.6873412698412699,0.09077206390896804,0.5236967595229725,0.012380961648732085,0.8512357028098745,5
33,0.663888888888889,0.1589089394964998,0.519439024474593,0.01170192962227566,0.8435203735919213,5
34,0.7017857142857142,0.14683813222330885,0.5144562506634516,0.01102548406519001,0.8246401567393015,5
35,0.6781746031746032,0.13045276565782443,0.5183655070941817,0.01194638708788325,0.8213911971219565,5
36,0.6948412698412698,0.09995402776106048,0.5156745336044474,0.014623494517107859,0.8194794431471474,5
37,0.7115079365079364,0.07577248208499067,0.5186207331981241,0.016019201907940116,0.8108203358180244,5
38,0.6823412698412699,0.08423314281325689,0.5122023989134702,0.012095577402437881,0.8222745898146894,5
39,0.6934523809523809,0.08301384333917466,0.5132690293144676,0.01287271604721772,0.8347340871129753,5
40,0.718452380952381,0.1164067196360126,0.5087594298289159,0.011617108061086588,0.8215532617635599,5
41,0.7240079365079365,0.09838049108155142,0.5101624237344049,0.012880882528721528,0.7400584753633215,5
42,0.7531746031746032,0.1189678138592196,0.5062143550250027,0.012981425482261274,0.6972095336123425,5
43,0.7549603174603174,0.024999212635623314,0.5137539268884757,0.01146655661025633,0.676057596903544,5
44,0.7674603174603174,0.03537231561215898,0.5117897721695597,0.011160157635217086,0.6236145739662876,5
45,0.7632936507936507,0.0869785690786067,0.514346258280401,0.018905239099294365,0.6434010646832835,5
46,0.7507936507936508,0.12181271261716664,0.5123730982784991,0.019517477637630336,0.6736607912615842,5
47,0.7085714285714285,0.10874838727399083,0.5207514019898609,0.014728958841922013,0.6810590560064762,5
