layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.6016666666666667,0.148884742894182,0.6136645962732918,0.05889782461236166,0.6470588235294118,5
1,0.6766666666666666,0.17671775990733551,0.6624223602484471,0.05094552247047194,0.6431372549019608,5
2,0.6183333333333334,0.2046677524401167,0.6795031055900622,0.041984373154941565,0.6666666666666666,5
3,0.6816666666666666,0.13338540649811234,0.6731366459627329,0.0465223455250762,0.6509803921568628,5
4,0.6983333333333334,0.13621877827801696,0.6490683229813665,0.050611948070098334,0.6941176470588235,5
5,0.6900000000000001,0.18758331482304072,0.6613354037267081,0.030191782475084136,0.6901960784313725,5
6,0.835,0.12081896466292959,0.6368012422360249,0.04050087146572813,0.6980392156862745,5
7,0.71,0.33073991124279045,0.6585403726708075,0.03524023764084812,0.6784313725490196,5
8,0.6599999999999999,0.2926412289628529,0.6295031055900621,0.05478253387271125,0.6117647058823529,5
9,0.6599999999999999,0.2926412289628529,0.6200310559006211,0.05639607472781295,0.6274509803921569,5
10,0.6599999999999999,0.2926412289628529,0.6422360248447205,0.061981618230071,0.6431372549019608,5
11,0.735,0.27082692300106026,0.6493788819875776,0.043195202152389145,0.6509803921568628,5
12,0.76,0.29192845394415085,0.7268633540372671,0.04618227532196544,0.5882352941176471,5
13,0.8133333333333332,0.24562844569254053,0.724223602484472,0.039540668544719756,0.6549019607843137,5
14,0.6799999999999999,0.2638918128492979,0.7043478260869565,0.024974187129143288,0.6156862745098038,5
15,0.635,0.2883381502487815,0.7454968944099379,0.04077898148326972,0.6,5
16,0.655,0.26151269355212736,0.7416149068322981,0.015473507041432417,0.6392156862745098,5
17,0.6799999999999999,0.2638918128492979,0.7630434782608695,0.03567797911517027,0.6627450980392158,5
18,0.6799999999999999,0.22091979439506,0.7753105590062112,0.022785646772786824,0.6588235294117647,5
19,0.5683333333333334,0.2688969236632423,0.7436335403726708,0.022935944284427388,0.6588235294117647,5
20,0.6799999999999999,0.22091979439506,0.7815217391304348,0.0170507217780215,0.596078431372549,5
21,0.6683333333333333,0.26551836094703507,0.7850931677018633,0.027048289928211476,0.6,5
22,0.7466666666666667,0.2190256200133268,0.8057453416149067,0.009242065925436705,0.6313725490196078,5
23,0.6966666666666667,0.1697219949080129,0.7998447204968945,0.022282743956132823,0.6509803921568628,5
24,0.7466666666666667,0.2190256200133268,0.8077639751552794,0.016402029187733206,0.6509803921568628,5
25,0.6799999999999999,0.2638918128492979,0.7737577639751553,0.028200442188452305,0.6745098039215687,5
26,0.6799999999999999,0.2638918128492979,0.7599378881987577,0.02038986028718111,0.6941176470588235,5
27,0.7183333333333334,0.27853784901397755,0.7686335403726707,0.023504465067112693,0.6862745098039216,5
28,0.6799999999999999,0.2638918128492979,0.7576086956521738,0.024822874712349337,0.7176470588235294,5
29,0.7133333333333333,0.23075961518428653,0.7903726708074534,0.012921829951159296,0.6666666666666667,5
30,0.7133333333333333,0.23075961518428653,0.7714285714285715,0.017607285208665023,0.6980392156862745,5
31,0.705,0.2777388861662855,0.7543478260869565,0.010294223008675307,0.6705882352941177,5
32,0.705,0.2777388861662855,0.7543478260869565,0.01960768830155267,0.6705882352941177,5
33,0.6849999999999999,0.3072277475894534,0.7341614906832298,0.028985738316144878,0.6745098039215687,5
34,0.755,0.23151073889178928,0.7385093167701864,0.011309849524614975,0.6705882352941177,5
35,0.705,0.2777388861662855,0.7349378881987578,0.02592284224850966,0.6666666666666666,5
36,0.655,0.26151269355212736,0.7206521739130435,0.009656712323438607,0.6509803921568628,5
37,0.655,0.26151269355212736,0.6956521739130436,0.025343165751474283,0.6235294117647059,5
38,0.655,0.26151269355212736,0.6944099378881987,0.025905396360371258,0.596078431372549,5
39,0.655,0.26151269355212736,0.7189440993788819,0.022212297361676882,0.5882352941176471,5
40,0.655,0.26151269355212736,0.726086956521739,0.024270340322906123,0.596078431372549,5
41,0.655,0.26151269355212736,0.7110248447204969,0.02651371938619665,0.5882352941176471,5
42,0.655,0.26151269355212736,0.7031055900621117,0.02515575875626594,0.5882352941176471,5
43,0.655,0.26151269355212736,0.6959627329192546,0.0320897406712509,0.580392156862745,5
44,0.655,0.26151269355212736,0.6995341614906833,0.03130239906928486,0.584313725490196,5
45,0.655,0.26151269355212736,0.6781055900621118,0.01580307508706694,0.5647058823529412,5
46,0.655,0.26151269355212736,0.6618012422360249,0.01158888705406541,0.5490196078431373,5
47,0.585,0.2236378520932646,0.6420807453416149,0.032362833851966394,0.5647058823529412,5
