layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.7,0.06561673228343176,0.6130769230769231,0.043966602440688084,0.5878787878787879,5
1,0.72,0.03613247231446469,0.6338461538461538,0.0692654827500084,0.5696969696969697,5
2,0.8366666666666667,0.12142098482369328,0.6115384615384615,0.01698415551216895,0.593939393939394,5
3,0.7783333333333333,0.07302967433402213,0.5557692307692308,0.03587453481957235,0.593939393939394,5
4,0.7783333333333333,0.07302967433402213,0.5484615384615384,0.02866610476032941,0.6181818181818182,5
5,0.7783333333333333,0.07302967433402213,0.5611538461538462,0.03523484188754421,0.6181818181818182,5
6,0.8033333333333333,0.08177713616898061,0.6038461538461538,0.06967008051052613,0.5818181818181818,5
7,0.745,0.0794075283304773,0.5276923076923077,0.05516248189017623,0.5878787878787879,5
8,0.7333333333333333,0.12204848763230672,0.5426923076923076,0.07510347890995926,0.5636363636363637,5
9,0.8033333333333333,0.08177713616898061,0.6138461538461538,0.057118945757927295,0.5878787878787879,5
10,0.8033333333333333,0.08177713616898061,0.6192307692307693,0.0478069342102156,0.6,5
11,0.8033333333333333,0.08177713616898061,0.6361538461538462,0.06460794371075854,0.5636363636363637,5
12,0.7983333333333333,0.05845225972250057,0.6257692307692307,0.03897731095433305,0.5393939393939393,5
13,0.8716666666666667,0.12931443160847214,0.6965384615384616,0.04514932489485908,0.5393939393939393,5
14,0.8183333333333334,0.07416198487095663,0.6684615384615384,0.03544935549109075,0.5333333333333333,5
15,0.8183333333333334,0.07416198487095663,0.7300000000000001,0.04888929046216046,0.5272727272727272,5
16,0.8766666666666667,0.09527008391351864,0.7376923076923078,0.044514142423949285,0.5272727272727272,5
17,0.8766666666666667,0.09527008391351864,0.7050000000000001,0.04114665645320537,0.5636363636363637,5
18,0.8233333333333335,0.059336610396392965,0.6776923076923078,0.021612167841671193,0.6,5
19,0.8233333333333335,0.059336610396392965,0.68,0.0377971461932648,0.5818181818181818,5
20,0.8233333333333335,0.059336610396392965,0.698076923076923,0.018040060614705502,0.6060606060606061,5
21,0.8233333333333335,0.059336610396392965,0.6876923076923077,0.02918391994629838,0.5878787878787879,5
22,0.7983333333333333,0.05845225972250057,0.7153846153846153,0.0322653110299279,0.5878787878787879,5
23,0.8233333333333335,0.059336610396392965,0.7480769230769231,0.055901699437494706,0.5636363636363637,5
24,0.7983333333333333,0.05845225972250057,0.7380769230769231,0.028504385627478417,0.5575757575757576,5
25,0.8233333333333335,0.059336610396392965,0.703076923076923,0.041079191812887425,0.6,5
26,0.7983333333333333,0.05845225972250057,0.6900000000000001,0.04760149542676048,0.5696969696969697,5
27,0.7983333333333333,0.05845225972250057,0.6973076923076923,0.0628849094323871,0.5515151515151515,5
28,0.7983333333333333,0.05845225972250057,0.7273076923076923,0.04333115227404472,0.5212121212121212,5
29,0.8233333333333335,0.059336610396392965,0.7150000000000001,0.057602494193204054,0.5515151515151515,5
30,0.8233333333333335,0.059336610396392965,0.7146153846153847,0.03395742199984766,0.5454545454545455,5
31,0.8233333333333335,0.059336610396392965,0.7423076923076923,0.033995518326276335,0.5454545454545455,5
32,0.8233333333333335,0.059336610396392965,0.7319230769230769,0.035527512465859924,0.5515151515151515,5
33,0.7983333333333333,0.05845225972250057,0.7423076923076923,0.024664914112270453,0.5212121212121212,5
34,0.8233333333333335,0.059336610396392965,0.7376923076923078,0.03989168025849687,0.5393939393939393,5
35,0.765,0.07781745019952502,0.7403846153846154,0.036715159792378445,0.5393939393939394,5
36,0.765,0.07781745019952502,0.7496153846153846,0.05162664671356816,0.5515151515151515,5
37,0.7116666666666667,0.1132843031197762,0.7446153846153847,0.05608992673962774,0.5454545454545454,5
38,0.7116666666666667,0.1132843031197762,0.7953846153846154,0.027854758551538322,0.5333333333333333,5
39,0.745,0.1138956637551326,0.745,0.034897355828013434,0.5333333333333333,5
40,0.6916666666666667,0.13070322617798436,0.745,0.04121401065846678,0.5333333333333333,5
41,0.6916666666666667,0.13070322617798436,0.745,0.04121401065846678,0.5333333333333333,5
42,0.6916666666666667,0.13070322617798436,0.74,0.05564309342725156,0.5515151515151515,5
43,0.6916666666666667,0.13070322617798436,0.7223076923076923,0.046723250423932584,0.5575757575757575,5
44,0.6916666666666667,0.13070322617798436,0.696923076923077,0.06159252432929212,0.5454545454545454,5
45,0.6916666666666667,0.13070322617798436,0.686923076923077,0.05932622178864897,0.5393939393939393,5
46,0.6916666666666667,0.13070322617798436,0.6665384615384615,0.070154099189827,0.5333333333333333,5
47,0.6916666666666667,0.13070322617798436,0.6365384615384615,0.03765991543762717,0.5575757575757575,5
