layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.3765079365079365,0.07048715482957697,0.42528510440501444,0.06608491626469991,0.6000169838048416,5
1,0.47833333333333333,0.15196336475948713,0.4433306104988583,0.07443496088341935,0.6135555598642753,5
2,0.5260714285714285,0.11056409423606002,0.4202658261242429,0.05214019964224632,0.56043537401873,5
3,0.572063492063492,0.10926960377384888,0.42509209859163966,0.051650488236807006,0.5809137728828991,5
4,0.5638888888888889,0.1421969976567902,0.3794083816114857,0.04643033758951808,0.6010498059976996,5
5,0.48694444444444446,0.12756072588421502,0.4190308746431848,0.02777543930828613,0.6031574378376764,5
6,0.7129761904761904,0.09542244063568453,0.4465645048440445,0.053406384042678896,0.5965599032629564,5
7,0.7629761904761905,0.04664631480414348,0.46396197958643554,0.023165760676047482,0.5802742552029039,5
8,0.7907539682539683,0.07502540092243885,0.5200935563400222,0.06994218214111528,0.6374017421034708,5
9,0.7578571428571428,0.08812479394807131,0.5525867547322827,0.1079723774224078,0.6542731941622929,5
10,0.7443650793650793,0.13027728522019355,0.525300518780111,0.06975208429819187,0.6714851300851825,5
11,0.804484126984127,0.11377472708628032,0.5732084071515272,0.11337146333614978,0.5756411294028776,5
12,0.7582142857142857,0.0716692374163192,0.5486025294014025,0.05904644994403762,0.5858750461063676,5
13,0.6903571428571429,0.11368143818475863,0.5564516339148854,0.07586918639792913,0.5685482428055408,5
14,0.6828571428571428,0.12532440896726063,0.5209981682722467,0.04709220945131775,0.5687696719148276,5
15,0.7439285714285714,0.05521679597570949,0.554358176734033,0.019629523430312233,0.6765493885545494,5
16,0.7351984126984127,0.0726745386043177,0.516269325746025,0.058913939254514436,0.7155615200170484,5
17,0.7846428571428572,0.11246094056127863,0.5026284317545575,0.036756722968149635,0.7581496340495923,5
18,0.7782539682539682,0.08191015943670749,0.5322200675444172,0.014827163028255236,0.779612513435611,5
19,0.7933730158730159,0.12329394454882477,0.5182948334694959,0.06445994534826287,0.737827086589738,5
20,0.7957539682539683,0.12090186239284306,0.5197007760358894,0.05880924509207731,0.7305820199856274,5
21,0.7814682539682539,0.10639247076615377,0.5448265627495108,0.04034658428270777,0.7534531667220223,5
22,0.7429761904761905,0.0738220035532549,0.5270942145954158,0.03946029003224765,0.7509700063245958,5
23,0.7772619047619047,0.0680063105648585,0.5147969890487406,0.033734388645492296,0.6768401842686056,5
24,0.7883730158730159,0.08246018378466637,0.5112890885438709,0.03656997244018943,0.6724361492282789,5
25,0.7697619047619046,0.08260459424832077,0.5128098426664278,0.039558789320836306,0.696380797815755,5
26,0.7429761904761905,0.09179258512977644,0.5106384916109807,0.04447545688238391,0.6693281407491183,5
27,0.7975,0.10943351609285182,0.5081497187264732,0.03364735369117361,0.7057972578471894,5
28,0.8007142857142856,0.10490841351749335,0.5419532418062507,0.08356123964589472,0.6951912180807522,5
29,0.7939285714285714,0.08296517314300338,0.5605276587296647,0.04540609977592744,0.6019390218658579,5
30,0.7963095238095239,0.044020261774687534,0.5775428205368547,0.06023649870585181,0.5920007758757112,5
31,0.7796428571428571,0.05933063893599399,0.5627735208814219,0.08560442479615984,0.6008838520965549,5
32,0.7596428571428572,0.08733422910689795,0.5694002054136769,0.0989283593061024,0.567384952129361,5
33,0.7963095238095239,0.044020261774687534,0.5717868778366263,0.08190029325681132,0.6097442282867134,5
34,0.7963095238095239,0.044020261774687534,0.5543941016408196,0.09916747918784373,0.5837032173101957,5
35,0.7855952380952381,0.07875429657501194,0.5757298641689838,0.055997925891546785,0.5569673513285132,5
36,0.761984126984127,0.09686895244007748,0.5579114820664677,0.07723565479768477,0.575928126618125,5
37,0.7601984126984127,0.06314226559292602,0.5736448064035068,0.07710929912075769,0.5629387933726115,5
38,0.7513095238095238,0.10912388162977942,0.5395164242594139,0.10050645585634843,0.6077387402387491,5
39,0.768531746031746,0.020343640127214176,0.5269571327085514,0.10529472891548512,0.6041026748372148,5
40,0.717579365079365,0.06518175742980316,0.5503887391521929,0.10802470034945355,0.6324628276978416,5
41,0.6979761904761904,0.09461065639691375,0.5401093067840319,0.1281999382324575,0.6528699561651168,5
