layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.36142857142857143,0.0763825239566381,0.4845421837609333,0.031115615136891258,0.600748791118707,5
1,0.38642857142857145,0.07063848751472067,0.45802083701437313,0.062145920691939804,0.6130581989316977,5
2,0.39654761904761904,0.06660871205436981,0.4652959708491139,0.08168767126204,0.5730354063909757,5
3,0.4525,0.07413092465988608,0.4458470233226256,0.06696756827950717,0.5810187005488321,5
4,0.5477380952380952,0.05657173671152251,0.44715378818322044,0.08919520431312801,0.6139772302899631,5
5,0.47833333333333333,0.04553590880755215,0.4470030963862731,0.07425099773210547,0.6008293354033626,5
6,0.5891666666666666,0.08927122898371588,0.5197768808404817,0.06327659362930901,0.5348913299887932,5
7,0.6728571428571428,0.07135611404314185,0.49205596640629395,0.08774026863746356,0.5667055579338804,5
8,0.6936904761904762,0.06095249720971058,0.4896663911509725,0.08595642292254377,0.5691861358184473,5
9,0.6978571428571428,0.05356746017047706,0.517103304031121,0.07061330346992628,0.5917595979228201,5
10,0.7422619047619048,0.11985588710392737,0.5554737960825836,0.07412236407287784,0.5961999926963791,5
11,0.8238095238095238,0.09564181543347257,0.6018771673824723,0.08786296570354012,0.5296231255404528,5
12,0.8130952380952381,0.07889431311395871,0.5935995948476146,0.05151212540173568,0.569840876786871,5
13,0.8422619047619048,0.0860010909333327,0.5877994689047081,0.054468082377779545,0.5407804140341774,5
14,0.8196428571428571,0.10351839090826243,0.6299926589450011,0.08199558968187108,0.581488875094571,5
15,0.8339285714285716,0.06722502149303658,0.6199452932380168,0.0711935668813675,0.5674532777166651,5
16,0.7121428571428572,0.0589174472424694,0.5972850533164699,0.04590237489751791,0.5976675941641837,5
17,0.7704761904761905,0.015599326981237888,0.6403948423451493,0.04757947422077127,0.6110608180512559,5
18,0.8365476190476191,0.07812327095592335,0.7144895828103152,0.0533865161101718,0.5700531162568281,5
19,0.8279761904761905,0.10883257544714288,0.685620322436574,0.036066111053930025,0.537412784029734,5
20,0.8029761904761905,0.06494645012023331,0.6724305853200333,0.04079674663892002,0.5521988765973302,5
21,0.8297619047619047,0.08590834513696757,0.6734322823913402,0.04323433050152385,0.5624769972839345,5
22,0.7704761904761905,0.07039631090880519,0.6699895172303816,0.05041014422315653,0.6010832339803774,5
23,0.7970238095238095,0.07664485048961846,0.659458975617712,0.058747323330371345,0.6445863981994171,5
24,0.7779761904761905,0.08474568464387813,0.6792071178966126,0.05332353446242912,0.6260015683638454,5
25,0.7779761904761905,0.07295006523739776,0.6399640772329881,0.051473638518974636,0.6486816429879771,5
26,0.8047619047619048,0.07802502106096883,0.6417668832336615,0.05384497985361208,0.6428978473435054,5
27,0.8089285714285713,0.05333944480290443,0.6512765281957844,0.028354665831405376,0.6467950757764733,5
28,0.8232142857142858,0.046755564015846386,0.6406881164102861,0.05497607840708416,0.6690433952768098,5
29,0.8255952380952382,0.07580819273777609,0.6324092477787722,0.05479474147648818,0.5839089053703818,5
30,0.8648809523809524,0.04472215180062347,0.6358379671493046,0.05707638060100775,0.5519080372284864,5
31,0.875,0.05311478659992486,0.6503165782344225,0.052168949328469,0.5538515658491142,5
32,0.856547619047619,0.04786950503683589,0.6468976835079487,0.04704784636609129,0.5578435765717875,5
33,0.8458333333333334,0.08014743359029727,0.6178943090094154,0.04372441375673494,0.551215916390196,5
34,0.8464285714285715,0.08114145461844009,0.6541672407087274,0.026879721309801888,0.5600143097356521,5
35,0.819047619047619,0.09958904361278781,0.6430298683404337,0.025127017027791895,0.5624710293574544,5
36,0.7880952380952382,0.08458352183216823,0.6442615130897972,0.025690798282780272,0.5662005930242857,5
37,0.8130952380952381,0.07276161843935189,0.6321438275983002,0.08047963890684698,0.6088433437082099,5
38,0.8458333333333332,0.06846531968814575,0.6399474857034178,0.06845600980248664,0.6072881996190507,5
39,0.7972619047619048,0.0378657522405638,0.6279298682974641,0.05729740783051939,0.6024552802645202,5
40,0.7532142857142857,0.06756883195789455,0.6076743786425086,0.05159880568571217,0.6211448399984068,5
41,0.8073809523809524,0.11952626989499562,0.6000355701899758,0.07234924708213343,0.6189784697829193,5
