layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.42333333333333334,0.15438048235879212,0.47903726708074534,0.011370977108599994,0.6117647058823529,5
1,0.6033333333333333,0.19208288141667737,0.49534161490683226,0.017516326355090844,0.6470588235294118,5
2,0.6233333333333333,0.24933244206614322,0.48183229813664596,0.02874034425389266,0.6235294117647059,5
3,0.6483333333333332,0.20483733383671382,0.4928571428571429,0.019076325530579016,0.592156862745098,5
4,0.5683333333333334,0.17102631376487074,0.5310559006211181,0.016858735054820207,0.5450980392156863,5
5,0.7516666666666667,0.14794894014114765,0.5321428571428571,0.021632112360428,0.5764705882352941,5
6,0.6933333333333334,0.22262636860893184,0.5195652173913043,0.03574549675916489,0.5686274509803921,5
7,0.7566666666666666,0.1831817555204545,0.5529503105590062,0.011296517149917296,0.5490196078431373,5
8,0.7899999999999999,0.09954758772678637,0.5527950310559007,0.03626283431104581,0.5764705882352941,5
9,0.8150000000000001,0.13545191848852578,0.5852484472049689,0.027137286763004313,0.5686274509803921,5
10,0.8400000000000001,0.1588150566609546,0.6263975155279502,0.04259727451370013,0.5764705882352941,5
11,0.835,0.12081896466292959,0.6586956521739131,0.039841373919673774,0.5607843137254902,5
12,0.835,0.12081896466292959,0.635248447204969,0.015267615812202704,0.5411764705882354,5
13,0.7649999999999999,0.08787617550976046,0.6260869565217392,0.03451084773175956,0.5450980392156863,5
14,0.86,0.1422048600513436,0.6175465838509318,0.03939634093838364,0.5764705882352941,5
15,0.7016666666666667,0.15550098249064398,0.6259316770186335,0.04192690358703389,0.6078431372549019,5
16,0.71,0.12295550233948688,0.6512422360248447,0.04383518645587656,0.592156862745098,5
17,0.71,0.12295550233948688,0.645807453416149,0.037882311679889084,0.6470588235294118,5
18,0.76,0.13035741465507655,0.6759316770186335,0.03614044954990495,0.6627450980392157,5
19,0.71,0.12295550233948688,0.647360248447205,0.01827752546691653,0.6313725490196078,5
20,0.7849999999999999,0.08045012257431446,0.6517080745341615,0.04425670148928784,0.6274509803921569,5
21,0.8433333333333334,0.09398581453247788,0.6611801242236025,0.05272819572959738,0.6117647058823529,5
22,0.8183333333333334,0.04654746681256312,0.6226708074534162,0.03809098314296923,0.5607843137254902,5
23,0.7683333333333333,0.15234281516807194,0.6487577639751553,0.05802136603621515,0.5529411764705883,5
24,0.7433333333333334,0.14023789311975085,0.6745341614906832,0.07097012275152943,0.5607843137254902,5
25,0.7849999999999999,0.08045012257431446,0.6878881987577639,0.04792328994413343,0.5450980392156863,5
26,0.7933333333333333,0.09778803607803971,0.6704968944099379,0.04737170210753244,0.5450980392156863,5
27,0.7683333333333333,0.15234281516807194,0.6850931677018633,0.03513831400434925,0.5333333333333333,5
28,0.7433333333333334,0.24870497917546133,0.6835403726708075,0.0395147437346642,0.5529411764705883,5
29,0.7183333333333334,0.2382225849914319,0.7119565217391305,0.03510999706395966,0.580392156862745,5
30,0.7983333333333332,0.07129749878735811,0.6881987577639752,0.04525338667796469,0.5647058823529412,5
31,0.7016666666666667,0.29085601630742003,0.6927018633540373,0.06618623747964332,0.5647058823529412,5
32,0.6849999999999999,0.22961320132392696,0.7501552795031057,0.06274041373350028,0.5843137254901961,5
33,0.7183333333333334,0.2382225849914319,0.7498447204968944,0.05598520601983018,0.596078431372549,5
34,0.6516666666666666,0.24455174412699565,0.7498447204968943,0.060245645705500894,0.6078431372549019,5
35,0.6849999999999999,0.22961320132392696,0.7419254658385094,0.05342382221357983,0.6235294117647059,5
36,0.6516666666666666,0.24455174412699565,0.7360248447204969,0.06722678992135135,0.6156862745098038,5
37,0.7016666666666667,0.29085601630742003,0.7340062111801242,0.039119958175554186,0.596078431372549,5
38,0.7016666666666667,0.29085601630742003,0.7486024844720497,0.031434033355453805,0.580392156862745,5
39,0.735,0.27082692300106026,0.7422360248447205,0.03273783950668945,0.5725490196078431,5
40,0.6516666666666666,0.24455174412699565,0.7540372670807454,0.015267615812202633,0.5411764705882354,5
41,0.5933333333333334,0.28101996765749976,0.7450310559006211,0.020880619022479403,0.5647058823529412,5
