layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.4216666666666667,0.13814243856734734,0.3496153846153846,0.0719857809759809,0.5818181818181818,5
1,0.465,0.2416954005906332,0.3423076923076923,0.05172683713966449,0.5757575757575758,5
2,0.39,0.09831920802501751,0.4184615384615385,0.08540496985386532,0.5757575757575758,5
3,0.4333333333333333,0.19825628755617197,0.42153846153846153,0.09206096834973616,0.6181818181818182,5
4,0.49333333333333335,0.17896306260728154,0.4361538461538461,0.09938233803058787,0.5878787878787879,5
5,0.4,0.203100960115899,0.4388461538461539,0.07849829455803932,0.5818181818181818,5
6,0.4,0.2721442632134655,0.37615384615384617,0.05128886172726107,0.6424242424242423,5
7,0.6116666666666667,0.1520233900132184,0.5226923076923077,0.06598143902536523,0.6181818181818182,5
8,0.7566666666666666,0.13558002966677815,0.5484615384615384,0.03108015977051833,0.6,5
9,0.8183333333333334,0.17102631376487074,0.6142307692307692,0.04638563591172285,0.6,5
10,0.7983333333333333,0.148884742894182,0.6219230769230769,0.0456826912957596,0.593939393939394,5
11,0.8233333333333333,0.14923415605461554,0.7284615384615385,0.014982731677524966,0.6060606060606061,5
12,0.8616666666666667,0.15361387379472669,0.7219230769230769,0.04531693127689724,0.6848484848484848,5
13,0.8566666666666667,0.1350668558735101,0.7661538461538462,0.03542326484540485,0.6060606060606061,5
14,0.9016666666666666,0.10998737301264278,0.7480769230769231,0.04755485776491638,0.5818181818181818,5
15,0.9016666666666666,0.11908213785264171,0.7565384615384615,0.05443700555655591,0.6303030303030303,5
16,0.8233333333333335,0.17935068069752808,0.7361538461538462,0.052302742978518064,0.6242424242424243,5
17,0.8099999999999999,0.2184541650374793,0.7538461538461539,0.04269923713687409,0.6303030303030303,5
18,0.7699999999999999,0.16683325008322933,0.7796153846153846,0.03231112619113799,0.6363636363636364,5
19,0.9016666666666666,0.10998737301264278,0.7538461538461538,0.02481439980877683,0.6303030303030303,5
20,0.8233333333333335,0.20593620910908847,0.7861538461538462,0.03207563177625896,0.5818181818181818,5
21,0.8766666666666666,0.12995725793078616,0.7380769230769231,0.02645192132930671,0.6,5
22,0.8233333333333335,0.22410315085295485,0.7080769230769232,0.03732454020848947,0.6666666666666667,5
23,0.9099999999999999,0.05184110338331933,0.7365384615384615,0.06070651583717149,0.6545454545454545,5
24,0.9349999999999999,0.060207972893961514,0.7596153846153846,0.028263343185959727,0.6545454545454545,5
25,0.89,0.07202430145443968,0.7669230769230769,0.06010038446647203,0.6363636363636364,5
26,0.915,0.08587782018658836,0.7823076923076924,0.044696544218639056,0.6424242424242423,5
27,0.8566666666666667,0.1350668558735101,0.736923076923077,0.06582712251930507,0.6666666666666667,5
28,0.8566666666666667,0.1350668558735101,0.7596153846153847,0.04790353348877366,0.6545454545454545,5
29,0.915,0.08587782018658836,0.7623076923076922,0.05426690012985952,0.6666666666666667,5
30,0.915,0.08587782018658836,0.7773076923076923,0.045759533555780524,0.6484848484848484,5
31,0.8816666666666666,0.12752995290867514,0.7965384615384615,0.03647261272914159,0.5636363636363637,5
32,0.915,0.08587782018658836,0.783076923076923,0.04388240741428588,0.5333333333333333,5
33,0.915,0.08587782018658836,0.7780769230769231,0.04664403156324903,0.5393939393939393,5
34,0.915,0.08587782018658836,0.7676923076923077,0.03916189278053153,0.5333333333333333,5
35,0.915,0.08587782018658836,0.7319230769230769,0.024911084484171193,0.5636363636363637,5
36,0.8816666666666666,0.12752995290867514,0.7469230769230769,0.03727992622589652,0.5757575757575758,5
37,0.8816666666666666,0.12752995290867514,0.7419230769230769,0.035755787382757295,0.5818181818181818,5
38,0.9016666666666666,0.11908213785264171,0.7446153846153847,0.045961136142429714,0.5818181818181818,5
39,0.8766666666666666,0.10563958643530477,0.7034615384615385,0.05209018692579722,0.5757575757575758,5
40,0.8566666666666667,0.10951281000666344,0.7311538461538462,0.04665988609516961,0.5878787878787879,5
41,0.8766666666666666,0.10563958643530477,0.7211538461538461,0.03206410000102509,0.5757575757575758,5
