layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.5502777777777779,0.08616864985707384,0.5026604414024688,0.019383189383499446,0.694650289775226,5
1,0.5816269841269841,0.08171852866045635,0.48391340838154334,0.002254006061970127,0.690678211479452,5
2,0.6391269841269841,0.0451611012851433,0.4675412192995303,0.012501327145888568,0.5635932183110033,5
3,0.6492857142857142,0.0900034642820288,0.49869838689902934,0.013253248335937462,0.5945671732400843,5
4,0.6326190476190476,0.07275358341845956,0.5025655315746338,0.010170948845177602,0.5751419471648366,5
5,0.6419047619047619,0.03436333805478704,0.5000367721553772,0.021902919767829574,0.5525642907070732,5
6,0.7048015873015873,0.05590493879712061,0.5165853718767037,0.044105378664913035,0.5846042127444881,5
7,0.7048015873015873,0.08992040726235208,0.5214166974464715,0.0453132039049949,0.5837263351239516,5
8,0.6887301587301587,0.1041803090083937,0.5130783010518003,0.023753224713896095,0.5776100950104339,5
9,0.6851190476190476,0.08080781910259623,0.5170958341210592,0.04356469291847289,0.5841415910864118,5
10,0.611547619047619,0.0749711773793218,0.5293503610583505,0.026361060894237207,0.588738534843967,5
11,0.6059920634920635,0.08191542204836984,0.5391679879173403,0.012191529474883944,0.6056523468886306,5
12,0.650436507936508,0.10112455057576727,0.5228799819247263,0.019120701608500528,0.6408074979823765,5
13,0.6268253968253968,0.1597638957760795,0.5306294614306324,0.01897640805698118,0.6175718507011799,5
14,0.6286111111111111,0.11300490683821535,0.5241141304223345,0.015889975499846762,0.6346078151227534,5
15,0.6762301587301588,0.06307564335846602,0.5098107841156843,0.00542564224921317,0.7709405263432879,5
16,0.6801587301587302,0.1419268097463159,0.4883953392882404,0.024918396436619052,0.636225831841762,5
17,0.6476587301587301,0.09794700684637465,0.5010723978255435,0.031688008977103915,0.6398755397401448,5
18,0.6693253968253968,0.14820084510146392,0.5027907469844293,0.021436720879676126,0.6467940514531628,5
19,0.6582142857142858,0.12838141823781518,0.50465716808173,0.0238745287086993,0.6222031366727311,5
20,0.6240476190476191,0.07341677380365438,0.5108357152447431,0.01717163139221245,0.6950464930387712,5
21,0.655,0.05783558289259367,0.5084599503019722,0.015361928024065307,0.8371157115651409,5
22,0.6073809523809524,0.1189297035076487,0.5073595472262327,0.02039354721543395,0.8440899661335571,5
23,0.6692857142857143,0.030911144692701866,0.5274958384314401,0.01868801281951301,0.6887881276486796,5
24,0.6887301587301586,0.12659557369598462,0.5155250943390192,0.013367577231431784,0.8102793350589568,5
25,0.6109920634920635,0.11215790909893156,0.5386890868757722,0.01877384781000332,0.6975146781786474,5
26,0.645515873015873,0.09430612119494136,0.5468780781320061,0.026218161653651553,0.6361407020675782,5
27,0.665515873015873,0.07821669159483365,0.5257514557608218,0.01776901791411759,0.8461139217037287,5
28,0.6577777777777778,0.1468974646168516,0.5314736046737718,0.022854341474214324,0.7553920554671019,5
29,0.7012301587301588,0.13536533854839833,0.5432215835718226,0.02775811380763284,0.7176698135493657,5
30,0.7053968253968254,0.12161058888952865,0.548180904687253,0.020675443702406423,0.7786038472628133,5
31,0.7327777777777778,0.11152685824885032,0.5477286492067809,0.026668675399342683,0.7423752308250269,5
32,0.6716666666666666,0.16311348524967145,0.5454524426125807,0.02064512799729823,0.7714698546738915,5
33,0.7303968253968254,0.14832821634188326,0.5229475320458936,0.011709055840647945,0.8504047499585401,5
34,0.7923015873015873,0.1070419866148938,0.5401857100648904,0.014610263848092667,0.8277263344659469,5
35,0.7798015873015873,0.10874304755029894,0.5398204199034988,0.022370683888846433,0.810668462312438,5
36,0.7821825396825397,0.08859725756973982,0.5376408810674425,0.01702190234992188,0.8087254401655712,5
37,0.7821825396825397,0.08859725756973982,0.5346247733830584,0.022360977218804177,0.8581875802884416,5
38,0.7710714285714285,0.0741801371241937,0.5342715123680035,0.020351526616999467,0.8533743870659795,5
39,0.7877380952380952,0.05944280202024587,0.5388595679070033,0.02171879157066093,0.821111853468906,5
40,0.7494444444444445,0.12114012516781536,0.5294234226982729,0.022830912631321323,0.8825332021227587,5
41,0.7437301587301587,0.09669444941147946,0.5315514285951795,0.009845582857922835,0.6772867692852589,5
