layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.7294047619047619,0.11788990646086492,0.5312269343956413,0.0061413844757406124,0.5821359373391479,5
1,0.6921428571428571,0.12167007380375192,0.5249521998049719,0.01575330420380463,0.5836200237005775,5
2,0.7522619047619047,0.056601478110231744,0.5272683250745035,0.019266230607485696,0.6067098542655239,5
3,0.7314285714285714,0.10115055234828338,0.5375779810494974,0.014684549722278981,0.7314285321655426,5
4,0.6879761904761905,0.09065067761177478,0.537913121457671,0.020309432595576278,0.7066066754951805,5
5,0.7121428571428572,0.12147422694461318,0.5532942737254182,0.020968977679216752,0.6363867441785185,5
6,0.7764285714285715,0.08115629953767314,0.5655666123868486,0.023543360274286794,0.6603169756497912,5
7,0.7454761904761905,0.07717761746250149,0.5717002577806006,0.013814276146544912,0.6024514147980186,5
8,0.7889285714285714,0.06092342597227729,0.5836609933074255,0.019056602069250448,0.6032878033944769,5
9,0.8398809523809524,0.0309581038665377,0.5851060527592388,0.01928023284383624,0.6328248774738425,5
10,0.8398809523809524,0.0309581038665377,0.5854769574570401,0.020764624468852577,0.617799879477159,5
11,0.8732142857142857,0.027567943278355756,0.5811598358572464,0.014806543514929785,0.5805805063244724,5
12,0.8782142857142858,0.06747700540557058,0.5870165824038646,0.017400255569229816,0.6172372525879636,5
13,0.8966666666666667,0.08256941524156101,0.5978179976863089,0.010737993572719751,0.6358825587380361,5
14,0.8716666666666667,0.0925337776166087,0.5848601465659651,0.01701472552145436,0.6253342397076602,5
15,0.8198809523809525,0.06169779964249638,0.5700317262307272,0.011020076080563709,0.6932794167805189,5
16,0.8823809523809525,0.06832622951294606,0.5588835512127782,0.028445763279757817,0.6079556365575518,5
17,0.8198809523809525,0.08006737879681274,0.5748870719108012,0.03374825067958661,0.6243583718419238,5
18,0.8365476190476191,0.06039775096802417,0.586640821682064,0.023173244955549826,0.6622766003788911,5
19,0.8198809523809523,0.029977197494337512,0.5713743055851079,0.012759775545983112,0.73646729648297,5
20,0.7764285714285715,0.06234192026779204,0.5537588801694612,0.024555073777399596,0.7132982829934362,5
21,0.805595238095238,0.07703172109216934,0.5693924798411851,0.022730159401392405,0.7090549711317963,5
22,0.7722619047619048,0.07553615989211503,0.561508788668583,0.01867601438417635,0.7259977599073351,5
23,0.7270238095238095,0.11504013767656925,0.562091421048815,0.024504292212152515,0.7019200375245038,5
24,0.7339285714285715,0.16651513094070328,0.5577355651975531,0.033289810077741615,0.7200080295346172,5
25,0.7145238095238096,0.1281398455256516,0.5613707187812752,0.02948250885350435,0.6803080720286184,5
26,0.7196428571428571,0.10968382461976772,0.5615715155738069,0.035997650347537456,0.6957083626694418,5
27,0.7279761904761906,0.13172122782380388,0.5418060239413134,0.031824924569842344,0.7908696570180457,5
28,0.6970238095238096,0.1261708205716314,0.5321286478741455,0.027341940409362598,0.8300268574664462,5
29,0.7404761904761905,0.10069468879476183,0.5663736518296989,0.026019473333722593,0.7212995379258481,5
30,0.7621428571428572,0.06488723211199922,0.5985430706405748,0.026502288399156505,0.6869323280322623,5
31,0.7261904761904763,0.11722941899542334,0.5951938982161632,0.03140273395470078,0.6828411875042268,5
32,0.7222619047619048,0.05863261418964718,0.6102282459495101,0.038858229053646165,0.6341462584880752,5
33,0.6561904761904762,0.07270389266793284,0.6026038419120284,0.029746020851992294,0.5991540865374827,5
34,0.6654761904761906,0.10041280301371083,0.5851759233789158,0.02831623525459553,0.6336586442489394,5
35,0.6535714285714287,0.14113545864549715,0.5943025779117684,0.03673087957485363,0.6548168673970418,5
36,0.6511904761904762,0.09557233017345855,0.6021261809892466,0.039754561787008216,0.6754385230737991,5
37,0.6535714285714287,0.14113545864549715,0.5842667536142337,0.05105572903610124,0.6779817488435897,5
38,0.6494047619047618,0.14095962014872077,0.5840082770042374,0.047747064581866,0.6716661602148322,5
39,0.6827380952380953,0.08379971533513365,0.5873137350407205,0.04798318740246514,0.6523120803996696,5
40,0.6895238095238095,0.089410230636117,0.5609865880074187,0.04250125418708217,0.7625544038003773,5
41,0.8029761904761905,0.054732782111287924,0.6066715716864328,0.03234164187459718,0.6498472546900349,5
