layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.5766666666666667,0.20844996735161386,0.5850931677018634,0.05562117436732238,0.7803921568627451,5
1,0.7133333333333333,0.23075961518428653,0.5649068322981367,0.06132704951360926,0.7843137254901961,5
2,0.6466666666666667,0.2498332777407099,0.5986024844720497,0.03396683673016669,0.803921568627451,5
3,0.605,0.13011746829521223,0.6251552795031057,0.02654212309603882,0.8156862745098039,5
4,0.6216666666666667,0.2084666240272848,0.6453416149068323,0.056280519842120486,0.8117647058823529,5
5,0.6216666666666667,0.2084666240272848,0.6847826086956522,0.04975611791929228,0.7333333333333333,5
6,0.6466666666666667,0.23552541735919336,0.7251552795031057,0.03917923728894456,0.7254901960784313,5
7,0.6466666666666667,0.23552541735919336,0.7437888198757764,0.04070722586620594,0.7372549019607844,5
8,0.73,0.22186081723058318,0.7546583850931677,0.016090358521787862,0.6274509803921569,5
9,0.7966666666666666,0.24675674031095662,0.7024844720496894,0.030256600671367016,0.6745098039215687,5
10,0.9466666666666667,0.07673909622147561,0.7254658385093167,0.016521038606547057,0.6823529411764706,5
11,0.9133333333333333,0.0836660026534076,0.7104037267080745,0.02198041563182,0.6745098039215687,5
12,0.8933333333333333,0.09831920802501752,0.7001552795031056,0.030608185821962026,0.6980392156862745,5
13,0.86,0.1422048600513436,0.7251552795031057,0.037753202380168334,0.7254901960784313,5
14,0.8800000000000001,0.13864422895390285,0.7085403726708075,0.027491489436469535,0.7333333333333333,5
15,0.8550000000000001,0.12184917817622828,0.7049689440993789,0.04304282285537966,0.7294117647058823,5
16,0.7816666666666666,0.14958275301651594,0.702639751552795,0.026962353034449247,0.7529411764705882,5
17,0.78,0.22279786553934688,0.7156832298136646,0.02549966508122528,0.7411764705882353,5
18,0.86,0.1422048600513436,0.6954968944099379,0.024486696361019116,0.7450980392156863,5
19,0.6599999999999999,0.2926412289628529,0.712888198757764,0.028006327579243685,0.7294117647058823,5
20,0.5599999999999999,0.3515047020390418,0.7136645962732919,0.03155843410753001,0.7215686274509804,5
21,0.61,0.3585464482539961,0.7147515527950311,0.037679684093931395,0.6705882352941177,5
22,0.5349999999999999,0.3149294453612675,0.6708074534161491,0.006944310489129745,0.6745098039215687,5
23,0.5349999999999999,0.3149294453612675,0.7083850931677018,0.036550928199213586,0.6549019607843137,5
24,0.5349999999999999,0.3149294453612675,0.6846273291925467,0.033910889120022436,0.6549019607843137,5
25,0.48166666666666663,0.35101044618833405,0.7436335403726708,0.040878637913847465,0.6588235294117647,5
26,0.48166666666666663,0.35101044618833405,0.7027950310559007,0.02481072985389338,0.6313725490196079,5
27,0.5349999999999999,0.297932691876687,0.6731366459627328,0.010108087396189047,0.6509803921568628,5
28,0.5683333333333334,0.21509042026294173,0.654192546583851,0.019391295395130036,0.6823529411764706,5
29,0.5599999999999999,0.28616234708446336,0.6920807453416149,0.03560694780074157,0.6235294117647059,5
30,0.5599999999999999,0.28616234708446336,0.6718944099378882,0.059361670431021855,0.6235294117647059,5
31,0.5933333333333334,0.2618311584887397,0.656055900621118,0.05546489517396638,0.6235294117647059,5
32,0.5933333333333334,0.2618311584887397,0.6616459627329192,0.06534989128204582,0.6470588235294118,5
33,0.5599999999999999,0.2607680962081059,0.6726708074534161,0.04706851907819269,0.615686274509804,5
34,0.54,0.28809720581775866,0.6496894409937888,0.06732176837319716,0.6078431372549019,5
35,0.5266666666666666,0.2802776401277054,0.6374223602484472,0.0518474284694536,0.6117647058823529,5
36,0.5266666666666666,0.2802776401277054,0.6583850931677018,0.049982757144118595,0.6,5
37,0.5266666666666666,0.2802776401277054,0.6627329192546584,0.047151689243777044,0.596078431372549,5
38,0.5599999999999999,0.28616234708446336,0.6714285714285715,0.0470262379288436,0.5882352941176471,5
39,0.51,0.19846634195472257,0.6821428571428572,0.03574633992270648,0.6,5
40,0.61,0.2570127536826831,0.675,0.0363856357671775,0.592156862745098,5
41,0.5599999999999999,0.28616234708446336,0.6809006211180124,0.03923689058538284,0.5725490196078431,5
