layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.725,0.11055415967851334,0.6123076923076922,0.04505092450568101,0.5696969696969697,5
1,0.8316666666666667,0.05962847939999433,0.5626923076923077,0.061577511648558854,0.5575757575757575,5
2,0.7583333333333334,0.067700320038633,0.6111538461538462,0.03993337646897666,0.5757575757575758,5
3,0.8033333333333333,0.08177713616898061,0.5911538461538461,0.02762143709118422,0.5818181818181818,5
4,0.8233333333333335,0.059336610396392965,0.5888461538461538,0.016731874410889417,0.6060606060606061,5
5,0.8183333333333334,0.07416198487095663,0.6065384615384616,0.037403722562580115,0.6,5
6,0.8433333333333334,0.06598610964943052,0.6788461538461539,0.030162282964150196,0.5696969696969697,5
7,0.8433333333333334,0.06598610964943052,0.6834615384615385,0.03441716752027022,0.5636363636363637,5
8,0.8383333333333333,0.05700877125495692,0.6703846153846154,0.03947229572975855,0.593939393939394,5
9,0.8299999999999998,0.07373940601876314,0.6915384615384615,0.014429485755618521,0.5333333333333333,5
10,0.8683333333333334,0.0972539630726344,0.7196153846153847,0.03520859228106401,0.5272727272727272,5
11,0.8433333333333334,0.06598610964943052,0.7303846153846154,0.020863390546331594,0.5575757575757576,5
12,0.8516666666666668,0.11093040861529156,0.7303846153846154,0.0163404967586523,0.5696969696969697,5
13,0.8433333333333334,0.06598610964943052,0.6873076923076924,0.028801247096601982,0.5575757575757576,5
14,0.8383333333333333,0.10762589527308629,0.6630769230769231,0.022360679774997935,0.6484848484848484,5
15,0.8300000000000001,0.13131281565618627,0.605,0.03818651671953857,0.6727272727272727,5
16,0.7716666666666667,0.18611525700191503,0.6038461538461538,0.029448832367526125,0.5818181818181818,5
17,0.7716666666666667,0.18611525700191503,0.6065384615384615,0.031936975658336586,0.593939393939394,5
18,0.7766666666666666,0.16805670339369255,0.6092307692307692,0.04413451064173928,0.6060606060606061,5
19,0.7766666666666666,0.16805670339369255,0.6042307692307692,0.041899252228149685,0.6121212121212121,5
20,0.7766666666666666,0.16805670339369255,0.5988461538461538,0.03619780469985386,0.5878787878787879,5
21,0.7766666666666666,0.16805670339369255,0.611923076923077,0.036064742900419715,0.6181818181818182,5
22,0.7766666666666666,0.16805670339369255,0.6065384615384616,0.0327657546007446,0.593939393939394,5
23,0.7516666666666667,0.1588150566609546,0.5680769230769231,0.036503019247744226,0.5636363636363637,5
24,0.8633333333333333,0.09585144756340408,0.538076923076923,0.028178163100877385,0.6,5
25,0.8433333333333334,0.06598610964943052,0.5457692307692308,0.03140567732190055,0.6060606060606061,5
26,0.8433333333333334,0.06598610964943052,0.5607692307692307,0.027587944369891208,0.5878787878787879,5
27,0.9099999999999999,0.05184110338331933,0.5846153846153846,0.03243678421814038,0.6666666666666667,5
28,0.8766666666666666,0.09527008391351864,0.5773076923076923,0.020863390546331594,0.6909090909090909,5
29,0.8766666666666666,0.09527008391351864,0.6230769230769231,0.023903467105107767,0.696969696969697,5
30,0.8766666666666666,0.09527008391351864,0.6180769230769231,0.027386127875258348,0.703030303030303,5
31,0.79,0.14110181509187694,0.6280769230769231,0.04107919181288747,0.6909090909090909,5
32,0.77,0.18186915320880803,0.6303846153846153,0.07315784992683397,0.6727272727272727,5
33,0.77,0.18186915320880803,0.6326923076923077,0.08538764720882046,0.6545454545454545,5
34,0.8033333333333333,0.18861704294386786,0.5696153846153846,0.08610360829225881,0.6848484848484848,5
35,0.745,0.1138956637551326,0.6076923076923076,0.08706039188011687,0.6848484848484848,5
36,0.7783333333333333,0.18499249234015475,0.5865384615384616,0.09361059655285958,0.6181818181818182,5
37,0.7783333333333333,0.18499249234015475,0.5961538461538461,0.08116888304002029,0.5818181818181818,5
38,0.7783333333333333,0.18499249234015475,0.5765384615384616,0.07921349699709566,0.6303030303030303,5
39,0.8033333333333333,0.18861704294386786,0.5961538461538461,0.11919974782547492,0.5757575757575758,5
40,0.75,0.16904552312583992,0.5865384615384616,0.07471593146177853,0.6181818181818182,5
41,0.7166666666666667,0.18846971463164403,0.6988461538461539,0.05843433071334998,0.5515151515151515,5
