layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.7401984126984127,0.10122680642561159,0.5257245477070547,0.04685716231416375,0.6254609838975278,5
1,0.5280555555555555,0.13077561422100198,0.5122577247806652,0.02753465633497695,0.5611928259237884,5
2,0.46833333333333327,0.0895901555699994,0.47003575485054927,0.045130636998825926,0.5983514222992452,5
3,0.5302380952380952,0.18566582090453324,0.5150485268057341,0.05448394923402299,0.5447117056573804,5
4,0.5724603174603174,0.10938600212813905,0.5335078916402406,0.026979805861743065,0.5639484376192208,5
5,0.5566269841269842,0.06846123706226571,0.5380831096417177,0.09058036890229508,0.6033291623429824,5
6,0.5986904761904762,0.06101756652011188,0.5310475902183716,0.07083446950308185,0.5508765328726722,5
7,0.608015873015873,0.08187122002221799,0.5310861704789208,0.048321149583223436,0.5519732409469819,5
8,0.5977380952380952,0.1491284677270618,0.47784689265812,0.060815693735463174,0.5460165392605325,5
9,0.6786904761904762,0.10831894200590637,0.48374528640533904,0.05901363229448438,0.5659233323366579,5
10,0.6727380952380952,0.1015490844532238,0.4879011925575572,0.06233092256517679,0.5731645671136703,5
11,0.7320238095238094,0.06847877337999062,0.5335556056303726,0.057545367888918314,0.6022356187393828,5
12,0.7704761904761904,0.043002811303975784,0.5705947334525787,0.05543564114363111,0.593267976333816,5
13,0.7649206349206349,0.07781856316452183,0.5418145810731215,0.06024749500001146,0.5761374011675894,5
14,0.6804761904761905,0.1008066951939124,0.5709972658139979,0.08587096119790347,0.6337226336411508,5
15,0.661031746031746,0.10018422813318206,0.5865302606949696,0.08616365001891967,0.58094690207476,5
16,0.681031746031746,0.06202937574674084,0.5543200438964083,0.08245896138478986,0.615258234265063,5
17,0.6499206349206349,0.09810586046535022,0.5456728769059614,0.09313129614402493,0.565800891288203,5
18,0.7343650793650793,0.07813397844603517,0.5331142479844285,0.06724292136097507,0.5403888596003783,5
19,0.7051984126984128,0.07681882719844213,0.5321134838913959,0.08264302768077011,0.5702645894211558,5
20,0.7032539682539682,0.08974403970113874,0.4861524184037173,0.08401453143454438,0.5893488785670582,5
21,0.6667460317460318,0.06731084631390456,0.52029631176586,0.061816646102439025,0.5754208374470293,5
22,0.6653571428571429,0.12635910790148788,0.5424273023522197,0.04976338756550278,0.5423249996155842,5
23,0.6375793650793651,0.09392023889918683,0.5212768727792817,0.06488166521518682,0.584059190565414,5
24,0.6121825396825397,0.09648566961950834,0.5149998495227515,0.058702820607035994,0.5772392505272104,5
25,0.614563492063492,0.08219982113489185,0.5133306335336142,0.06264839863770362,0.5715287209543147,5
26,0.595515873015873,0.12984891626687353,0.5219264641309025,0.07224956459398056,0.5831627345454888,5
27,0.5788492063492063,0.10161051167146319,0.5093759201999516,0.04589179262997658,0.559405170172444,5
28,0.553452380952381,0.08365202666179614,0.48924868204007643,0.053688491921327554,0.5694783605465419,5
29,0.5403968253968253,0.12249992608530222,0.5074602038752222,0.05169742361051988,0.5546977908049884,5
30,0.5042857142857142,0.07149476099925181,0.49653761904746974,0.05893910795815338,0.5762664239140339,5
31,0.5233333333333333,0.08067771154779721,0.523666097805916,0.0431024534869624,0.5778946826686342,5
