layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.484047619047619,0.03713064512308175,0.47930627946390014,0.06088508138390124,0.6358964323185694,5
1,0.36797619047619046,0.10471572981312205,0.4961956633160135,0.06682184366708964,0.5480389429194792,5
2,0.3575,0.0967546661381307,0.4858973507839536,0.0692405307340641,0.5467528049610637,5
3,0.45095238095238094,0.11931710569745704,0.4959410602214249,0.07042955660446949,0.5518289066864728,5
4,0.5126190476190476,0.12193623454406237,0.5233004596104064,0.06390395251891676,0.5572945097529515,5
5,0.5266666666666666,0.08698463387640516,0.5207862380298607,0.08630915897154995,0.545632709931707,5
6,0.6260714285714286,0.06176925416125074,0.5581155192546154,0.050720470875541726,0.5751136805886978,5
7,0.6736904761904763,0.09478818581483679,0.5805442632590879,0.055663954632658316,0.5450091563367478,5
8,0.7246428571428571,0.11165483108157424,0.596205746698461,0.040166156040320734,0.5522128176673687,5
9,0.7379761904761905,0.08212387634396978,0.5627279702737361,0.10051711717223558,0.5652580807428691,5
10,0.7546428571428572,0.09811358473832298,0.5505793111067063,0.08959898261907033,0.5558634513504914,5
11,0.7520238095238095,0.1096762332220926,0.5701055156437258,0.08561671202326855,0.554048128811736,5
12,0.8347619047619048,0.08975333892436853,0.6014662285868239,0.09504688090906491,0.5658490708088351,5
13,0.8472619047619048,0.09445886577904183,0.598741477229074,0.042020618866117555,0.5230431179620879,5
14,0.8514285714285714,0.1204431596447695,0.5814063867660628,0.061451634400483304,0.5414263550476821,5
15,0.8404761904761905,0.11241966141253429,0.5954402417546132,0.0890165103029221,0.5506156223283194,5
16,0.8964285714285716,0.07022169905478355,0.5938532225067211,0.10405030878370015,0.5575670135142952,5
17,0.9023809523809524,0.062478737879976626,0.5604086506196251,0.0726593165125714,0.5496327226786372,5
18,0.9291666666666668,0.08539125638299662,0.5784436647170524,0.053480083026096546,0.5378639915834488,5
19,0.9291666666666668,0.08539125638299662,0.5691753720341257,0.06688203365231035,0.534054467773925,5
20,0.9291666666666668,0.08539125638299662,0.5624658540754175,0.10041785518759433,0.5568682660773197,5
21,0.9291666666666668,0.06846531968814575,0.5857566289716221,0.07731419157850176,0.5992674397830848,5
22,0.9291666666666666,0.09727181274940629,0.6115389456954373,0.06280058253263436,0.5945692110216823,5
23,0.9291666666666666,0.09727181274940629,0.6172503306342618,0.04023082789810782,0.6310382413436739,5
24,0.9291666666666666,0.09727181274940629,0.6043609852035312,0.025131589510899475,0.6132937157485225,5
25,0.9125,0.08887803753208974,0.6074722120478275,0.01699103644798698,0.6183082900105398,5
26,0.9166666666666666,0.08960755486502738,0.5857635396061206,0.02090455550667436,0.6282349070837754,5
27,0.9166666666666666,0.08960755486502738,0.6034374956915103,0.041571343884038485,0.605559365249186,5
28,0.9166666666666666,0.08960755486502738,0.6017135368490037,0.029251028619123574,0.6165708957901508,5
29,0.8841666666666667,0.07326701546777761,0.5923453670695857,0.03610203783010655,0.6221785905629946,5
30,0.8383333333333333,0.0706124005477162,0.5546588701292736,0.045783182915679156,0.6302040125238252,5
31,0.8591666666666666,0.07479137650825798,0.560824100817775,0.029124037062468546,0.6846738614342278,5
