layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.6066666666666667,0.11462499242699599,0.5253105590062112,0.022506155684828385,0.5843137254901961,5
1,0.5399999999999999,0.17973746286057216,0.5309006211180124,0.04180451843593499,0.6196078431372548,5
2,0.49833333333333324,0.15027752105133133,0.5447204968944099,0.022311130489713494,0.6117647058823529,5
3,0.6516666666666666,0.1225311751714187,0.5487577639751553,0.028322019366358565,0.5725490196078431,5
4,0.71,0.22710435682498234,0.5262422360248447,0.027936288753378502,0.5607843137254902,5
5,0.86,0.1422048600513436,0.5285714285714286,0.025481929471715428,0.5686274509803921,5
6,0.86,0.1422048600513436,0.5625776397515528,0.029891808497805407,0.592156862745098,5
7,0.8099999999999999,0.12337837015547833,0.5819875776397516,0.028834571710904977,0.588235294117647,5
8,0.86,0.1422048600513436,0.6156832298136645,0.03932512814325793,0.5686274509803921,5
9,0.76,0.29192845394415085,0.6335403726708074,0.032682554627095066,0.5490196078431373,5
10,0.8766666666666666,0.07578295029593103,0.6419254658385093,0.03929215816348799,0.5254901960784314,5
11,0.8633333333333333,0.029226129861250342,0.6391304347826087,0.031772592089991225,0.5450980392156863,5
12,0.8633333333333333,0.029226129861250342,0.662111801242236,0.042288370695185096,0.5254901960784314,5
13,0.8633333333333333,0.029226129861250342,0.6616459627329192,0.04198796239119544,0.5529411764705883,5
14,0.8633333333333333,0.029226129861250342,0.65527950310559,0.03320858293159819,0.5686274509803921,5
15,0.8966666666666667,0.06252777160768025,0.6663043478260869,0.029657978599536228,0.6,5
16,0.9800000000000001,0.04472135954999578,0.6604037267080745,0.03390733377412049,0.580392156862745,5
17,0.96,0.08944271909999156,0.6746894409937888,0.022748579695626756,0.5647058823529412,5
18,0.96,0.08944271909999156,0.6826086956521739,0.03557222624416486,0.5647058823529412,5
19,0.9466666666666667,0.07673909622147561,0.6746894409937887,0.023498052718045892,0.5647058823529412,5
20,0.9266666666666665,0.10110500592068734,0.6925465838509317,0.014093272407353589,0.5450980392156863,5
21,0.9266666666666665,0.10110500592068734,0.6711180124223602,0.031358194901573204,0.5686274509803921,5
22,0.8933333333333333,0.1534781924429512,0.681055900621118,0.02814052768255039,0.5490196078431373,5
23,0.8683333333333334,0.14147045235274003,0.7012422360248447,0.033656630810289016,0.5529411764705883,5
24,0.86,0.21908902300206642,0.6874223602484472,0.0335588788949663,0.5372549019607844,5
25,0.86,0.21908902300206642,0.6695652173913043,0.016291402728511258,0.5529411764705883,5
26,0.86,0.21908902300206642,0.6767080745341614,0.021436165276106,0.5450980392156863,5
27,0.86,0.21908902300206642,0.6659937888198757,0.01724231881054821,0.5568627450980392,5
28,0.86,0.21908902300206642,0.6711180124223602,0.03135819490157321,0.5686274509803921,5
29,0.86,0.21908902300206642,0.6675465838509317,0.02889617630507225,0.5725490196078431,5
30,0.8933333333333333,0.1534781924429512,0.6576086956521738,0.02892015610588382,0.592156862745098,5
31,0.9266666666666665,0.10110500592068734,0.6810559006211181,0.0328316101525247,0.5529411764705883,5
