layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.37,0.20829999733290655,0.4888461538461538,0.028439440485845124,0.7212121212121212,5
1,0.42333333333333334,0.17454305422381544,0.39461538461538465,0.08721318164850105,0.696969696969697,5
2,0.36333333333333334,0.18186915320880803,0.40730769230769226,0.09410706165455617,0.696969696969697,5
3,0.41666666666666663,0.19436506316151,0.4034615384615384,0.11095170600350746,0.6242424242424243,5
4,0.4116666666666666,0.12904564222699572,0.4407692307692308,0.1340606702713718,0.6060606060606061,5
5,0.5483333333333333,0.29157141301727246,0.49884615384615383,0.0990020470770367,0.5515151515151515,5
6,0.675,0.23318447632722034,0.5634615384615385,0.04589269062992971,0.6303030303030303,5
7,0.7649999999999999,0.14605934866804432,0.6188461538461538,0.07419937558550006,0.6,5
8,0.6566666666666666,0.20803311702173236,0.6253846153846154,0.0765302469499796,0.5515151515151515,5
9,0.71,0.22098265391956298,0.6188461538461538,0.11785339654385477,0.593939393939394,5
10,0.8266666666666665,0.11820415484331427,0.6153846153846154,0.07315279462157785,0.5454545454545455,5
11,0.8183333333333334,0.0741619848709566,0.6469230769230769,0.06999577332970666,0.5818181818181818,5
12,0.8516666666666666,0.11093040861529155,0.676923076923077,0.053949077458098176,0.5575757575757576,5
13,0.8183333333333334,0.0741619848709566,0.6673076923076924,0.028620915511802337,0.6,5
14,0.8183333333333334,0.0741619848709566,0.6803846153846154,0.05719982103667119,0.6121212121212121,5
15,0.8433333333333334,0.11030261405182863,0.6876923076923077,0.02968647810449263,0.593939393939394,5
16,0.8683333333333334,0.09725396307263437,0.7003846153846155,0.0648792688508989,0.6181818181818182,5
17,0.8683333333333334,0.09725396307263437,0.6903846153846154,0.06565273082735217,0.6181818181818182,5
18,0.9016666666666666,0.10998737301264278,0.6907692307692308,0.06427796515707175,0.6363636363636364,5
19,0.8683333333333334,0.09725396307263437,0.7061538461538461,0.06158952208589724,0.6606060606060606,5
20,0.8683333333333334,0.09725396307263437,0.7184615384615385,0.07542532260415478,0.6303030303030303,5
21,0.8683333333333334,0.09725396307263437,0.6896153846153845,0.06397808426541224,0.593939393939394,5
22,0.8483333333333334,0.09937303457175894,0.705,0.04143773399712589,0.5696969696969697,5
23,0.8483333333333334,0.09937303457175894,0.7023076923076923,0.04257780903810343,0.5818181818181818,5
24,0.8683333333333334,0.09725396307263437,0.6792307692307693,0.03253355118431925,0.5696969696969697,5
25,0.8883333333333333,0.06861729616746304,0.6842307692307693,0.023918933601132435,0.5636363636363637,5
26,0.8683333333333334,0.07826237921249264,0.6865384615384615,0.045202535667473696,0.5575757575757575,5
27,0.8883333333333333,0.06861729616746304,0.6742307692307692,0.029183919946298383,0.5454545454545454,5
28,0.8433333333333334,0.09398581453247791,0.6638461538461539,0.02634685568969717,0.5454545454545454,5
29,0.8683333333333334,0.07826237921249264,0.6715384615384615,0.017698577484374627,0.5636363636363637,5
30,0.8883333333333333,0.06861729616746304,0.6842307692307693,0.04446842507220564,0.5393939393939393,5
31,0.8633333333333333,0.029226129861250304,0.611923076923077,0.07533701401352044,0.6242424242424243,5
