layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.6857539682539683,0.12186355459497951,0.49778466869976246,0.019115960914109754,0.5781004421739608,5
1,0.5817857142857144,0.08943202298222863,0.4874642150016787,0.01397382744513238,0.600920802064659,5
2,0.6260714285714285,0.13604309582960283,0.4990367127662839,0.004496072721776393,0.7298219081907517,5
3,0.703015873015873,0.10363359443097492,0.49969648816860596,0.01827143326855087,0.6808389855174708,5
4,0.753968253968254,0.11000727202880246,0.510759655027623,0.006457435927341862,0.6876425786980893,5
5,0.7595238095238095,0.12064405771579273,0.5278899570770341,0.017759499760183244,0.7705475800994224,5
6,0.7577380952380952,0.13773686051222514,0.5354786172055459,0.016376727313332583,0.6415935672413144,5
7,0.7323412698412699,0.15326722773149468,0.5415203685327363,0.030107737223140377,0.5975258087545238,5
8,0.7267857142857143,0.1382631881003525,0.5425596972107986,0.027235434564898672,0.5952983720792594,5
9,0.6942857142857143,0.11742163402054338,0.5446918795837756,0.03768556715956211,0.5983348156705711,5
10,0.7036111111111111,0.15075673106933246,0.5509841424291249,0.03924098159287075,0.6122215498930019,5
11,0.7103968253968254,0.14610246734733323,0.553540922162364,0.029806345280185064,0.5981723316237451,5
12,0.6978968253968254,0.15242483970347276,0.5490810010800049,0.034057246047801644,0.6380182684725785,5
13,0.6978968253968254,0.15242483970347276,0.5318223887659019,0.032766481229777086,0.6548525944606229,5
14,0.6836111111111112,0.1721069534154799,0.5196413790344669,0.023681998769927638,0.7390598305648323,5
15,0.6599999999999999,0.14244695575575358,0.5177523247967171,0.021250019894203134,0.7173347217493625,5
16,0.6488888888888888,0.1268605704696463,0.5167323337121923,0.01707505703123011,0.7365672683299384,5
17,0.604047619047619,0.12003710806631908,0.5230182738890543,0.021069340707659114,0.6767182841231045,5
18,0.6183333333333334,0.12465897357943209,0.5203679706919336,0.015810208000975445,0.7216011680345753,5
19,0.6332142857142857,0.1282626914859145,0.5254953010865517,0.018936600422811183,0.6968584681837691,5
20,0.6766666666666666,0.15392251765063253,0.5250535183448704,0.026014956155747376,0.7172999219350351,5
21,0.6711111111111111,0.15326225748833522,0.5118122161671939,0.015965418238862793,0.7433283411466356,5
22,0.690952380952381,0.08105014230026632,0.5105167523136346,0.015023233743759998,0.7758950946920121,5
23,0.7387301587301587,0.07782956548473374,0.5142066863814907,0.015122145809667418,0.7581385980075134,5
24,0.7262301587301587,0.09334051202011573,0.513409457707662,0.01700920828680735,0.7204957686751301,5
25,0.7095634920634921,0.09281647630741247,0.5075724574075118,0.01575180347457514,0.7118835489466272,5
26,0.7151190476190477,0.09101461034939475,0.5120100695754299,0.013060080243930905,0.7703573277341862,5
27,0.7262301587301587,0.09334051202011573,0.5142106407080261,0.020947905109607198,0.7165890773992374,5
28,0.7262301587301587,0.09334051202011573,0.5184317987284104,0.014837440742983278,0.7210265144011445,5
29,0.6784523809523809,0.11970088618801036,0.5075695021593292,0.017447928806870825,0.7224226832988565,5
30,0.6367857142857143,0.09793466689376051,0.5024422981081094,0.015412881785604246,0.7017846808091934,5
31,0.7169047619047618,0.05570900717770532,0.5031212228029524,0.017357347760573114,0.6541391167855817,5
