layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.6838095238095239,0.09628277484797733,0.5221571737511115,0.007320921229532885,0.7094585225043336,5
1,0.7353571428571428,0.06206138611293262,0.520463895269782,0.011216807400714408,0.750766994926637,5
2,0.6611904761904762,0.03499119179738466,0.5275179997070366,0.025997101393059604,0.7467679077950348,5
3,0.7303571428571429,0.0831630914122523,0.5506325849290038,0.038531333548445866,0.7272086304301902,5
4,0.8014285714285714,0.07274286867666589,0.5730119563927516,0.028042472350582978,0.6905258496499933,5
5,0.7823809523809524,0.07911697330442194,0.5478232590205389,0.032107289190953056,0.7624307073832168,5
6,0.7790476190476191,0.08812177849887615,0.5484056864851338,0.022960888987240118,0.7122864206671611,5
7,0.7239285714285714,0.08358211164929433,0.5537605864196953,0.0303035633995695,0.7336671658456263,5
8,0.7564285714285715,0.050105119091602514,0.5641120325575107,0.027757948715524942,0.7326400108424304,5
9,0.7129761904761904,0.039881840786124646,0.5533512609094364,0.029066672217550972,0.7251504249729169,5
10,0.7096428571428571,0.08230487816965372,0.5481455934887278,0.02744270617033286,0.7484935480481125,5
11,0.6929761904761904,0.07409028781358135,0.5422558765503409,0.0257850389847279,0.7764247607671602,5
12,0.6929761904761904,0.07409028781358135,0.5419809718056032,0.036852640623842754,0.7817279198222193,5
13,0.729642857142857,0.0437943167188477,0.5420647468738636,0.04169002003015392,0.8042036336163715,5
14,0.7463095238095238,0.040925378694829304,0.5373032361180458,0.03190161365172999,0.8174376926403852,5
15,0.6929761904761904,0.09400843065392381,0.538593479585081,0.03255084136401769,0.8435517415268059,5
16,0.6888095238095238,0.06780673775376055,0.5340056291604508,0.03200910998580478,0.8354201342710897,5
17,0.7155952380952381,0.07034571053681743,0.549599626105867,0.024675011381482984,0.7965887375348808,5
18,0.6888095238095238,0.10033196741222239,0.5400951803422492,0.029913738152679663,0.8078010743932797,5
19,0.6763095238095238,0.08356091373276665,0.5477801653401935,0.03434887092731591,0.8413702361611989,5
20,0.690595238095238,0.0743814249116141,0.5526361618195329,0.02454725318250205,0.8147877181249251,5
21,0.7072619047619048,0.0994621305799405,0.5590140274710022,0.02212118519014378,0.7623770350812793,5
22,0.7197619047619048,0.10958800525464278,0.5755398462086838,0.01667142899163977,0.7346256015228173,5
23,0.7155952380952381,0.11122227290848587,0.5833197388482768,0.016274104637415552,0.6908534064193179,5
24,0.7155952380952381,0.11122227290848587,0.5853646619128906,0.014080103032854525,0.6772244982430825,5
25,0.7155952380952381,0.11122227290848587,0.5889773320301964,0.017813418040429397,0.6835082109852593,5
26,0.7030952380952381,0.08128803836608371,0.5792731844347248,0.018907918179545437,0.7214499045210016,5
27,0.690595238095238,0.06300870076332385,0.5663108436716578,0.022687873141084742,0.7413409780736165,5
28,0.690595238095238,0.06300870076332385,0.558960084250953,0.0248686851128248,0.7557429535390349,5
29,0.6614285714285714,0.06563076991155653,0.5534029297107479,0.02325003249583322,0.7554876731334733,5
30,0.6596428571428572,0.05694160990677651,0.5404771676583414,0.03354220882717625,0.8052087586727108,5
31,0.7064285714285715,0.08746901783850468,0.5488130472881458,0.028881951204578624,0.844042669787936,5
