layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.6983333333333333,0.09937303457175894,0.5889751552795032,0.02074304018922512,0.7411764705882353,5
1,0.7849999999999999,0.08045012257431448,0.6254658385093168,0.015764884902949406,0.7725490196078432,5
2,0.7016666666666667,0.2566071359534302,0.6894409937888198,0.04176340312975412,0.6862745098039216,5
3,0.73,0.22186081723058315,0.7012422360248447,0.058184247181818596,0.6470588235294118,5
4,0.6799999999999999,0.2638918128492979,0.6987577639751553,0.035045555289727845,0.592156862745098,5
5,0.6799999999999999,0.2638918128492979,0.6608695652173913,0.029098856859765463,0.6549019607843137,5
6,0.78,0.2534210374499762,0.708695652173913,0.05042819905474606,0.6117647058823529,5
7,0.6633333333333333,0.1729643508549281,0.7315217391304347,0.035871749819199446,0.5411764705882354,5
8,0.6966666666666667,0.1697219949080129,0.7360248447204969,0.061436056261056374,0.6156862745098038,5
9,0.6266666666666667,0.22129668371266256,0.7301242236024844,0.050041816355211356,0.6352941176470588,5
10,0.5599999999999999,0.17264285550104744,0.698136645962733,0.038505716371463355,0.6784313725490196,5
11,0.6433333333333333,0.2762848771346947,0.7242236024844722,0.039242267238027796,0.6549019607843137,5
12,0.5933333333333334,0.2103568396796263,0.7203416149068322,0.031900396784296625,0.6941176470588235,5
13,0.5933333333333334,0.2103568396796263,0.6937888198757765,0.031702317567668406,0.6823529411764706,5
14,0.6933333333333334,0.2851899951494325,0.697360248447205,0.04211339294157503,0.6862745098039216,5
15,0.6383333333333333,0.2079663434308542,0.6922360248447206,0.050536262377162716,0.6980392156862745,5
16,0.5683333333333334,0.19386421364793796,0.714751552795031,0.023159561789130978,0.6705882352941177,5
17,0.6883333333333332,0.1961079634623065,0.725,0.034879177723887,0.6470588235294118,5
18,0.7133333333333333,0.23075961518428653,0.7281055900621117,0.054073732074304354,0.6156862745098038,5
19,0.6633333333333333,0.1729643508549281,0.7222049689440994,0.04621815569638694,0.6352941176470588,5
20,0.6633333333333333,0.1729643508549281,0.7170807453416149,0.02886591251039324,0.6470588235294118,5
21,0.63,0.14596422697207542,0.7217391304347827,0.020670262474899052,0.6,5
22,0.6633333333333333,0.15156590059186206,0.7074534161490683,0.028017087242931303,0.584313725490196,5
23,0.6633333333333333,0.15156590059186206,0.7110248447204969,0.028140527682550313,0.5882352941176471,5
24,0.6633333333333333,0.15156590059186206,0.6939440993788819,0.022935944284427332,0.5607843137254902,5
25,0.585,0.1708231704294109,0.6875776397515528,0.009722034684781734,0.5450980392156863,5
26,0.6383333333333333,0.1662077013859466,0.6832298136645962,0.023562097679337764,0.5490196078431373,5
27,0.605,0.13011746829521223,0.6753105590062112,0.021748833238405554,0.5490196078431373,5
28,0.605,0.13011746829521223,0.6760869565217391,0.022935944284427367,0.5411764705882354,5
29,0.6383333333333333,0.1662077013859466,0.6546583850931678,0.01724231881054825,0.5294117647058824,5
30,0.625,0.17179606773406914,0.6582298136645963,0.021371390536761736,0.5333333333333334,5
31,0.6583333333333333,0.13307266185559424,0.6428571428571429,0.03019477714694111,0.5568627450980392,5
