layer,mean_dev_balanced_accuracy,sd_dev_balanced_accuracy,mean_eval_balanced_accuracy,sd_eval_balanced_accuracy,mean_majority_prediction_fraction,n_splits
0,0.79,0.06907121928367367,0.5407692307692308,0.04665988609516961,0.6121212121212121,5
1,0.8766666666666667,0.09527008391351864,0.6276923076923077,0.022286130162797176,0.6606060606060606,5
2,0.8099999999999999,0.08526918161524324,0.625,0.06069128399253654,0.6484848484848486,5
3,0.8433333333333334,0.06598610964943052,0.6553846153846155,0.020863390546331594,0.6424242424242423,5
4,0.8716666666666667,0.09159087776022726,0.6846153846153846,0.032436784218140384,0.5454545454545455,5
5,0.8766666666666667,0.09527008391351864,0.7330769230769231,0.02236067977499792,0.5636363636363637,5
6,0.8383333333333333,0.10762589527308629,0.7203846153846154,0.018674651363554184,0.5636363636363637,5
7,0.8516666666666668,0.11093040861529156,0.7153846153846154,0.033001927503327914,0.5696969696969697,5
8,0.8516666666666668,0.11093040861529156,0.703076923076923,0.011180339887498964,0.6,5
9,0.8516666666666668,0.11093040861529156,0.7330769230769231,0.028504385627478458,0.5636363636363637,5
10,0.8516666666666666,0.06302556800396344,0.6903846153846154,0.020978292528145568,0.6,5
11,0.7983333333333333,0.05845225972250057,0.72,0.04937853425295667,0.5393939393939393,5
12,0.9099999999999999,0.05184110338331932,0.7280769230769231,0.032596012026013255,0.5696969696969697,5
13,0.885,0.08944271909999159,0.685,0.019771251019192086,0.5757575757575758,5
14,0.8516666666666666,0.06302556800396344,0.7376923076923078,0.027587944369891152,0.5272727272727272,5
15,0.8516666666666666,0.06302556800396344,0.7073076923076924,0.05373271016812603,0.5393939393939393,5
16,0.765,0.11995369476964388,0.6996153846153847,0.05602395409066252,0.5393939393939393,5
17,0.7449999999999999,0.12099127608587691,0.7026923076923077,0.039961149772300815,0.5696969696969697,5
18,0.725,0.13743685418725535,0.68,0.04003049872787456,0.5818181818181818,5
19,0.725,0.13743685418725535,0.685,0.0627495019900557,0.5757575757575758,5
20,0.705,0.12438738771363528,0.7050000000000001,0.048088460154178385,0.5575757575757576,5
21,0.6799999999999999,0.125637264464896,0.6799999999999999,0.05867118280985726,0.5818181818181818,5
22,0.705,0.12438738771363528,0.685,0.07856893102923651,0.5757575757575758,5
23,0.6799999999999999,0.125637264464896,0.6673076923076924,0.06468803150597754,0.5818181818181818,5
24,0.705,0.12438738771363528,0.6873076923076923,0.05765383332477919,0.5575757575757576,5
25,0.6799999999999999,0.125637264464896,0.6519230769230769,0.072160242458822,0.5696969696969697,5
26,0.6799999999999999,0.125637264464896,0.6392307692307693,0.07817017924424204,0.5696969696969697,5
27,0.6799999999999999,0.125637264464896,0.6542307692307692,0.06821368271011131,0.5515151515151515,5
28,0.6799999999999999,0.125637264464896,0.6542307692307692,0.06821368271011131,0.5515151515151515,5
29,0.6799999999999999,0.125637264464896,0.6338461538461538,0.081573377865155,0.5515151515151515,5
30,0.6799999999999999,0.125637264464896,0.6107692307692308,0.08635236400487696,0.5515151515151515,5
31,0.635,0.16959920073186927,0.5834615384615385,0.08332273108097756,0.593939393939394,5
